,STATION,zipcode
228,SUTPHIN-ARCHER,11435
229,JAMAICA CENTER,11432
230,72 ST-2 AVE,10021
231,86 ST-2 AVE,10028
232,96 ST-2 AVE,10128
233,HARRISON,10528
234,JOURNAL SQUARE,7306
235,GROVE STREET,7302
236,EXCHANGE PLACE,7302
237,PAVONIA/NEWPORT,7310
238,CITY / BUS,10018
239,CHRISTOPHER ST,10014
240,9TH STREET,10011
241,14TH STREET,10011
242,TWENTY THIRD ST,10010
243,THIRTY ST,19104
244,LACKAWANNA,1552
245,THIRTY THIRD ST,10001
246,NEWARK C,7114
247,PATH WTC 2,10007
248,PATH NEW WTC,10007
249,SOUTH FERRY,10004
250,WALL ST,10038
251,FRANKLIN ST,10013
252,HOUSTON ST,10014
253,18 ST,10011
254,66 ST-LINCOLN,10023
255,116 ST-COLUMBIA,10027
256,137 ST CITY COL,10031
257,157 ST,10032
258,191 ST,10040
259,207 ST,10034
260,215 ST,10034
261,MARBLE HILL-225,10034
262,231 ST,10463
263,238 ST,10463
264,V.CORTLANDT PK,10471
265,BOWLING GREEN,10004
266,BROOKLYN BRIDGE,10038
267,BLEECKER ST,10012
268,ASTOR PL,10003
269,33 ST,10001
270,GRD CNTRL-42 ST,10017
271,51 ST,10022
272,68ST-HUNTER CO,10021
273,110 ST,10025
274,138/GRAND CONC,10451
275,149/GRAND CONC,10451
276,MT EDEN AV,10452
277,176 ST,10453
278,BURNSIDE AV,10453
279,183 ST,10453
280,MOSHOLU PKWY,10467
281,WOODLAWN,10466
282,CENTRAL PK N110,10026
283,HARLEM 148 ST,10039
284,3 AV-149 ST,10455
285,JACKSON AV,10455
286,INTERVALE AV,10459
287,SIMPSON ST,10459
288,FREEMAN ST,10459
289,174 ST,10460
290,WEST FARMS SQ,10460
291,E 180 ST,10460
292,BRONX PARK EAST,10462
293,PELHAM PKWY,10803
294,ALLERTON AV,10467
295,BURKE AV,10467
296,GUN HILL RD,10467
297,219 ST,10467
298,225 ST,10034
299,233 ST,10466
300,NEREID AV,10119
301,WAKEFIELD/241,10470
302,3 AV 138 ST,10454
303,BROOK AV,10454
304,CYPRESS AV,10454
305,E 143/ST MARY'S,10454
306,E 149 ST,10451
307,LONGWOOD AV,10455
308,HUNTS POINT AV,10474
309,WHITLOCK AV,10459
310,ELDER AV,10472
311,MORISN AV/SNDVW,10472
312,ST LAWRENCE AV,10472
313,PARKCHESTER,10472
314,CASTLE HILL AV,10462
315,ZEREGA AV,10462
316,WESTCHESTER SQ,10461
317,MIDDLETOWN RD,10461
318,BUHRE AV,10461
319,PELHAM BAY PARK,10461
320,5 AVE,10022
321,VERNON-JACKSON,11101
322,HUNTERS PT AV,11101
323,QUEENSBORO PLZ,11101
324,39 AV,11101
325,ASTORIA BLVD,11102
326,ASTORIA DITMARS,11105
327,33 ST-RAWSON ST,11101
328,40 ST LOWERY ST,11104
329,46 ST BLISS ST,11104
330,52 ST,11377
331,61 ST WOODSIDE,11377
332,69 ST,11377
333,74 ST-BROADWAY,11372
334,82 ST-JACKSON H,11372
335,90 ST-ELMHURST,11372
336,JUNCTION BLVD,11368
337,103 ST-CORONA,11368
338,METS-WILLETS PT,11368
339,FLUSHING-MAIN,11354
340,34 ST-HUDSON YD,10001
341,CLARK ST,11201
342,HOYT ST,11201
343,NEVINS ST,11217
344,GRAND ARMY PLAZ,11238
345,EASTN PKWY-MUSM,11238
346,KINGSTON AV,11213
347,CROWN HTS-UTICA,11213
348,SUTTER AV-RUTLD,11212
349,SARATOGA AV,11212
350,JUNIUS ST,11212
351,PENNSYLVANIA AV,11207
352,NEW LOTS AV,11212
353,PRESIDENT ST,11225
354,STERLING ST,11225
355,WINTHROP ST,11225
356,BEVERLY RD,11226
357,NEWKIRK AV,11226
358,FLATBUSH AV-B.C,11217
359,MORRIS PARK,10462
360,BAYCHESTER AV,10469
361,EASTCHSTER/DYRE,10466
362,ST. GEORGE,10301
363,TOMPKINSVILLE,10304
364,RIT-MANHATTAN,5603
365,RIT-ROOSEVELT,11372
