,STATION,zipcode
202,ASSAU AV,11222.0
203,BROADWA,11106.0
204,MYRTLE-WILLOUGH,11206.0
205,BEDFORD-NOSTRA,11205.0
206,CLASSON AV,11238.0
207,47-50 STS ROCK,10020.0
208,42 ST-BRYANT PK,10021.0
209,2 AV,10003.0
210,EAST BROADWA,10002.0
211,ORK ST,11201.0
212,BERGEN ST,11201.0
213,CARROLL ST,11231.0
214,SMITH-9 ST,11231.0
215,4 AV-9 ST,11215.0
216,15 ST-PROSPECT,11215.0
217,DITMAS AV,11218.0
218,AVENUE I,11230.0
219,AVENUE,11230.0
220,AVENUE P,11230.0
221,AVENUE X,11223.0
222,EPTUNE AV,11224.0
223,57 ST,10106.0
224,LEXINGTON AV/63,10065.0
225,ROOSEVELT ISLND,10022.0
226,21 ST-QNSBRIDGE,11101.0
227,JAMAICA VAN WK,11418.0
228,SUTPHIN-ARCHER,11435.0
229,JAMAICA CENTER,11432.0
230,72 ST-2 AVE,10021.0
231,86 ST-2 AVE,10028.0
232,96 ST-2 AVE,10128.0
233,HARRISO,10528.0
234,JOURNAL SQUARE,7306.0
235,GROVE STREET,7302.0
236,EXCHANGE PLACE,7302.0
237,PAVONIA/NEWPORT,7310.0
238,CITY / BUS,10018.0
239,CHRISTOPHER ST,10014.0
240,9TH STREET,10011.0
241,14TH STREET,10011.0
242,TWENTY THIRD ST,10010.0
243,THIRTY ST,19104.0
244,LACKAWANNA,1552.0
245,THIRTY THIRD ST,10001.0
246,EWARK C,7114.0
247,PATH WTC 2,10007.0
248,PATH NEW WTC,10007.0
249,SOUTH FERR,10004.0
250,WALL ST,10038.0
251,FRANKLIN ST,10013.0
252,HOUSTON ST,10014.0
253,18 ST,10011.0
254,66 ST-LINCOL,10023.0
255,116 ST-COLUMBIA,10027.0
256,137 ST CITY COL,10031.0
257,157 ST,10032.0
258,191 ST,10040.0
259,207 ST,10034.0
260,215 ST,10034.0
261,MARBLE HILL-225,10034.0
262,231 ST,10463.0
263,238 ST,10463.0
264,V.CORTLANDT PK,10471.0
265,BOWLING GREE,10004.0
266,BROOKLYN BRIDGE,10038.0
267,BLEECKER ST,10012.0
268,ASTOR PL,10003.0
269,33 ST,10001.0
270,GRD CNTRL-42 ST,10017.0
271,51 ST,10022.0
272,68ST-HUNTER CO,10021.0
273,110 ST,10025.0
274,138/GRAND CONC,10451.0
275,149/GRAND CONC,10451.0
276,MT EDEN AV,10452.0
277,176 ST,10453.0
278,BURNSIDE AV,10453.0
279,183 ST,10453.0
280,MOSHOLU PKW,10467.0
281,WOODLAW,10466.0
282,CENTRAL PK N110,10026.0
283,HARLEM 148 ST,10039.0
284,3 AV-149 ST,10455.0
285,JACKSON AV,10455.0
286,INTERVALE AV,10459.0
287,SIMPSON ST,10459.0
288,FREEMAN ST,10459.0
289,174 ST,10460.0
290,WEST FARMS SQ,10460.0
291,E 180 ST,10460.0
292,BRONX PARK EAST,10462.0
293,PELHAM PKW,10803.0
294,ALLERTON AV,10467.0
295,BURKE AV,10467.0
296,GUN HILL RD,10467.0
297,219 ST,10467.0
298,225 ST,10034.0
299,233 ST,10466.0
300,EREID AV,10119.0
301,WAKEFIELD/241,10470.0
302,3 AV 138 ST,10454.0
303,BROOK AV,10454.0
304,CYPRESS AV,10454.0
305,E 143/ST MARY'S,10454.0
306,E 149 ST,10451.0
307,LONGWOOD AV,10455.0
308,HUNTS POINT AV,10474.0
309,WHITLOCK AV,10459.0
310,ELDER AV,10472.0
311,MORISN AV/SNDVW,10472.0
312,ST LAWRENCE AV,10472.0
313,PARKCHESTER,10472.0
314,CASTLE HILL AV,10462.0
315,ZEREGA AV,10462.0
316,WESTCHESTER SQ,10461.0
317,MIDDLETOWN RD,10461.0
318,BUHRE AV,10461.0
319,PELHAM BAY PARK,10461.0
320,5 AVE,10022.0
321,VERNON-JACKSO,11101.0
322,HUNTERS PT AV,11101.0
323,QUEENSBORO PLZ,11101.0
324,39 AV,11101.0
325,ASTORIA BLVD,11102.0
326,ASTORIA DITMARS,11105.0
327,33 ST-RAWSON ST,11101.0
328,40 ST LOWERY ST,11104.0
329,46 ST BLISS ST,11104.0
330,52 ST,11377.0
331,61 ST WOODSIDE,11377.0
332,69 ST,11377.0
333,74 ST-BROADWA,11372.0
334,82 ST-JACKSON H,11372.0
335,90 ST-ELMHURST,11372.0
336,JUNCTION BLVD,11368.0
337,103 ST-CORONA,11368.0
