,Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,coord
143,145,145,A05,IND,8th Av - Fulton St,190 St,M,A,Subway,40.859021999999996,-73.93418,"(40.859021999999996, -73.93418)"
144,146,146,A06,IND,8th Av - Fulton St,181 St,M,A,Subway,40.851695,-73.937969,"(40.851695, -73.937969)"
145,147,147,A07,IND,8th Av - Fulton St,175 St,M,A,Subway,40.847390999999995,-73.939704,"(40.847390999999995, -73.939704)"
146,148,605,A09,IND,8th Av - Fulton St,168 St,M,A C,Subway,40.840719,-73.939561,"(40.840719, -73.939561)"
147,149,149,A10,IND,8th Av - Fulton St,163 St - Amsterdam Av,M,C,Subway,40.836013,-73.939892,"(40.836013, -73.939892)"
148,150,150,A11,IND,8th Av - Fulton St,155 St,M,C,Subway,40.830518,-73.941514,"(40.830518, -73.941514)"
149,151,151,A12,IND,8th Av - Fulton St,145 St,M,A C,Subway,40.824783000000004,-73.944216,"(40.824783000000004, -73.944216)"
150,151,151,D13,IND,Concourse,145 St,M,B D,Subway,40.824783000000004,-73.944216,"(40.824783000000004, -73.944216)"
151,152,152,A14,IND,8th Av - Fulton St,135 St,M,B C,Subway,40.817894,-73.947649,"(40.817894, -73.947649)"
152,153,153,A15,IND,8th Av - Fulton St,125 St,M,A B C D,Subway,40.811109,-73.952343,"(40.811109, -73.952343)"
153,154,154,A16,IND,8th Av - Fulton St,116 St,M,B C,Subway,40.805085,-73.954882,"(40.805085, -73.954882)"
154,155,155,A17,IND,8th Av - Fulton St,Cathedral Pkwy (110 St),M,B C,Subway,40.800603,-73.958161,"(40.800603, -73.958161)"
155,156,156,A18,IND,8th Av - Fulton St,103 St,M,B C,Subway,40.796092,-73.961454,"(40.796092, -73.961454)"
156,157,157,A19,IND,8th Av - Fulton St,96 St,M,B C,Subway,40.791641999999996,-73.96469599999999,"(40.791641999999996, -73.96469599999999)"
157,158,158,A20,IND,8th Av - Fulton St,86 St,M,B C,Subway,40.785868,-73.96891600000001,"(40.785868, -73.96891600000001)"
158,159,159,A21,IND,8th Av - Fulton St,81 St - Museum of Natural History,M,B C,Subway,40.781433,-73.972143,"(40.781433, -73.972143)"
159,160,160,A22,IND,8th Av - Fulton St,72 St,M,B C,Subway,40.775594,-73.97641,"(40.775594, -73.97641)"
160,161,614,A24,IND,8th Av - Fulton St,59 St - Columbus Circle,M,A B C D,Subway,40.768296,-73.981736,"(40.768296, -73.981736)"
161,162,162,A25,IND,8th Av - Fulton St,50 St,M,C E,Subway,40.762456,-73.985984,"(40.762456, -73.985984)"
162,163,611,A27,IND,8th Av - Fulton St,42 St - Port Authority Bus Terminal,M,A C E,Subway,40.757308,-73.989735,"(40.757308, -73.989735)"
163,164,164,A28,IND,8th Av - Fulton St,34 St - Penn Station,M,A C E,Subway,40.752287,-73.993391,"(40.752287, -73.993391)"
164,165,165,A30,IND,8th Av - Fulton St,23 St,M,C E,Subway,40.745906,-73.998041,"(40.745906, -73.998041)"
165,166,618,A31,IND,8th Av - Fulton St,14 St,M,A C E,Subway,40.740893,-74.00169,"(40.740893, -74.00169)"
166,167,167,A32,IND,8th Av - Fulton St,W 4 St,M,A C E,Subway,40.732338,-74.000495,"(40.732338, -74.000495)"
167,167,167,D20,IND,6th Av - Culver,W 4 St,M,B D F M,Subway,40.732338,-74.000495,"(40.732338, -74.000495)"
168,168,168,A33,IND,8th Av - Fulton St,Spring St,M,C E,Subway,40.726227,-74.003739,"(40.726227, -74.003739)"
169,169,169,A34,IND,8th Av - Fulton St,Canal St,M,A C E,Subway,40.720824,-74.005229,"(40.720824, -74.005229)"
170,170,624,A36,IND,8th Av - Fulton St,Chambers St,M,A C,Subway,40.714110999999995,-74.008585,"(40.714110999999995, -74.008585)"
171,171,624,E01,IND,8th Av - Fulton St,World Trade Center,M,E,Subway,40.712582,-74.009781,"(40.712582, -74.009781)"
172,172,628,A38,IND,8th Av - Fulton St,Fulton St,M,A C,Subway,40.710196999999994,-74.00769100000001,"(40.710196999999994, -74.00769100000001)"
173,173,173,A40,IND,8th Av - Fulton St,High St,Bk,A C,Subway,40.699337,-73.990531,"(40.699337, -73.990531)"
174,174,636,A41,IND,8th Av - Fulton St,Jay St - MetroTech,Bk,A C F,Subway,40.692338,-73.987342,"(40.692338, -73.987342)"
175,175,175,A42,IND,8th Av - Fulton St,Hoyt - Schermerhorn Sts,Bk,A C G,Subway,40.688484,-73.985001,"(40.688484, -73.985001)"
176,176,176,A43,IND,8th Av - Fulton St,Lafayette Av,Bk,C,Subway,40.686113,-73.973946,"(40.686113, -73.973946)"
177,177,177,A44,IND,8th Av - Fulton St,Clinton - Washington Avs,Bk,C,Subway,40.683263000000004,-73.965838,"(40.683263000000004, -73.965838)"
178,178,627,A45,IND,8th Av - Fulton St,Franklin Av,Bk,C,Subway,40.68138,-73.956848,"(40.68138, -73.956848)"
179,179,179,A46,IND,8th Av - Fulton St,Nostrand Av,Bk,A C,Subway,40.680438,-73.95042600000001,"(40.680438, -73.95042600000001)"
180,180,180,A47,IND,8th Av - Fulton St,Kingston - Throop Avs,Bk,C,Subway,40.679921,-73.94085799999999,"(40.679921, -73.94085799999999)"
181,181,181,A48,IND,8th Av - Fulton St,Utica Av,Bk,A C,Subway,40.679364,-73.930729,"(40.679364, -73.930729)"
182,182,182,A49,IND,8th Av - Fulton St,Ralph Av,Bk,C,Subway,40.678822,-73.92078599999999,"(40.678822, -73.92078599999999)"
183,183,183,A50,IND,8th Av - Fulton St,Rockaway Av,Bk,C,Subway,40.678340000000006,-73.911946,"(40.678340000000006, -73.911946)"
184,184,621,A51,IND,8th Av - Fulton St,Broadway Jct,Bk,A C,Subway,40.678334,-73.905316,"(40.678334, -73.905316)"
185,185,185,A52,IND,8th Av - Fulton St,Liberty Av,Bk,C,Subway,40.674541999999995,-73.896548,"(40.674541999999995, -73.896548)"
186,186,186,A53,IND,8th Av - Fulton St,Van Siclen Av,Bk,C,Subway,40.672709999999995,-73.89035799999999,"(40.672709999999995, -73.89035799999999)"
187,187,187,A54,IND,8th Av - Fulton St,Shepherd Av,Bk,C,Subway,40.67413,-73.88075,"(40.67413, -73.88075)"
188,188,188,A55,IND,8th Av - Fulton St,Euclid Av,Bk,A C,Subway,40.675377000000005,-73.872106,"(40.675377000000005, -73.872106)"
189,189,189,A57,IND,Liberty Av,Grant Av,Bk,A,Subway,40.677044,-73.86505,"(40.677044, -73.86505)"
190,190,190,A59,IND,Liberty Av,80 St,Q,A,Elevated,40.679371,-73.858992,"(40.679371, -73.858992)"
191,191,191,A60,IND,Liberty Av,88 St,Q,A,Elevated,40.679843,-73.85146999999999,"(40.679843, -73.85146999999999)"
192,192,192,A61,IND,Liberty Av,Rockaway Blvd,Q,A,Elevated,40.680429,-73.843853,"(40.680429, -73.843853)"
193,193,193,A63,IND,Liberty Av,104 St,Q,A,Elevated,40.681711,-73.837683,"(40.681711, -73.837683)"
194,194,194,A64,IND,Liberty Av,111 St,Q,A,Elevated,40.684331,-73.832163,"(40.684331, -73.832163)"
195,195,195,A65,IND,Liberty Av,Ozone Park - Lefferts Blvd,Q,A,Elevated,40.685951,-73.82579799999999,"(40.685951, -73.82579799999999)"
196,196,196,H01,IND,Rockaway,Aqueduct Racetrack,Q,A,At Grade,40.672096999999994,-73.83591899999999,"(40.672096999999994, -73.83591899999999)"
197,197,197,H02,IND,Rockaway,Aqueduct - N Conduit Av,Q,A,At Grade,40.668234000000005,-73.834058,"(40.668234000000005, -73.834058)"
198,198,198,H03,IND,Rockaway,Howard Beach - JFK Airport,Q,A,At Grade,40.660476,-73.830301,"(40.660476, -73.830301)"
199,199,199,H04,IND,Rockaway,Broad Channel,Q,A S,At Grade,40.608382,-73.815925,"(40.608382, -73.815925)"
200,199,199,H19,IND,Rockaway,Broad Channel,Q,A S,At Grade,40.608382,-73.815925,"(40.608382, -73.815925)"
201,200,200,H12,IND,Rockaway,Beach 90 St,Q,A S,Viaduct,40.588034,-73.813641,"(40.588034, -73.813641)"
202,201,201,H13,IND,Rockaway,Beach 98 St,Q,A S,Viaduct,40.585307,-73.82055799999999,"(40.585307, -73.82055799999999)"
203,202,202,H14,IND,Rockaway,Beach 105 St,Q,A S,Viaduct,40.583209000000004,-73.827559,"(40.583209000000004, -73.827559)"
204,203,203,H15,IND,Rockaway,Rockaway Park - Beach 116 St,Q,A S,At Grade,40.580903,-73.835592,"(40.580903, -73.835592)"
205,204,204,H06,IND,Rockaway,Beach 67 St,Q,A,Viaduct,40.590927,-73.796924,"(40.590927, -73.796924)"
206,205,205,H07,IND,Rockaway,Beach 60 St,Q,A,Viaduct,40.592374,-73.788522,"(40.592374, -73.788522)"
