,movie_name,movie,opening,date_time,theaters,tot_gross,actors,directors
10,Star Trek Into Darkness,Star Trek Into Darkness,"$70,165,559",2013-05-16,"3,868","$228,778,661","['Leonard Nimoy*', 'Chris Pine', 'Zoe Saldana', 'Karl Urban', 'Simon Pegg', 'Anton Yelchin', 'Benedict Cumberbatch', 'Alice Eve']",['J.J. Abrams']
11,Thor: The Dark World,Thor: The Dark World,"$85,737,841",2013-11-08,"3,841","$206,362,140","['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Idris Elba', 'Stellan Skarsgard', 'Kat Dennings', 'Ray Stevenson', 'Zachary Levi', 'Rene Russo', 'Chris Evans*']",['Alan Taylor']
12,World War Z,World War Z,"$66,411,834",2013-06-21,"3,607","$202,359,711","['Brad Pitt', 'Mireille Enos']",['Marc Forster']
13,The Croods,The Croods,"$43,639,736",2013-03-22,"4,046","$187,168,425","['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds', 'Clark Duke']","['Kirk De Micco', 'Chris Sanders']"
14,The Heat,The Heat,"$39,115,043",2013-06-28,"3,181","$159,582,188","['Sandra Bullock', 'Melissa McCarthy']",['Paul Feig']
15,We're the Millers,We're the Millers,"$26,419,396",2013-08-07,"3,260","$150,394,119","['Jason Sudeikis', 'Jennifer Aniston', 'Ed Helms', 'Emma Roberts']",['Rawson Marshall Thurber']
16,American Hustle,American Hustle,"$740,455",2013-12-13,6,"$150,117,807","['Christian Bale', 'Bradley Cooper', 'Amy Adams', 'Jeremy Renner', 'Jennifer Lawrence', 'Robert DeNiro']",['David O. Russell']
17,The Great Gatsby (2013),The Great Gatsby,"$50,085,185",2013-05-10,"3,535","$144,840,419","['Elizabeth Debicki', 'Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan', 'Isla Fisher']",['Baz Luhrmann']
18,The Conjuring,The Conjuring,"$41,855,326",2013-07-19,"2,903","$137,400,141","['Vera Farmiga', 'Patrick Wilson', 'Ron Livingston', 'Joey King']",['James Wan']
19,Identity Thief,Identity Thief,"$34,551,025",2013-02-08,"3,141","$134,506,920","['Jason Bateman', 'Melissa McCarthy', 'Jon Favreau', 'Amanda Peet', 'Morris Chestnut']",['Seth Gordon']
20,Grown Ups 2,Grown Ups 2,"$41,508,572",2013-07-12,"3,491","$133,668,525","['Adam Sandler', 'Kevin James', 'Chris Rock', 'David Spade', 'Salma Hayek', 'Maria Bello', 'Nick Swardson', 'Taylor Lautner']",['Dennis Dugan']
21,The Wolverine,The Wolverine,"$53,113,752",2013-07-26,"3,924","$132,556,852","['Hugh Jackman', 'Famke Janssen*']",['James Mangold']
22,Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,"$26,232,425",2013-12-18,"3,507","$125,168,368","['Will Ferrell', 'Paul Rudd', 'Steve Carell', 'Kristen Wiig', 'Christina Applegate', 'James Marsden', 'Harrison Ford']",['Adam McKay']
23,Lone Survivor,Lone Survivor,"$90,872",2013-12-25,2,"$125,095,601","['Mark Wahlberg', 'Taylor Kitsch', 'Eric Bana', 'Ben Foster']",['Peter Berg']
24,G.I. Joe: Retaliation,G.I. Joe: Retaliation,"$40,501,814",2013-03-28,"3,719","$122,523,060","['Dwayne Johnson', 'Channing Tatum', 'Bruce Willis', 'Adrianne Palicki', 'Ray Stevenson', 'Jonathan Pryce', 'Luke Bracey*']",['Jon Chu']
25,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,"$34,017,930",2013-09-27,"4,001","$119,793,567","['Anna Faris', 'Will Forte*', 'Andy Samberg*', 'Benjamin Bratt*', 'Neil Patrick Harris*']",
26,Now You See Me,Now You See Me,"$29,350,389",2013-05-31,"2,925","$117,723,989","['Jesse Eisenberg', 'Isla Fisher', 'Morgan Freeman', 'Woody Harrelson', 'Mark Ruffalo', 'Dave Franco', 'Melanie Laurent', 'Michael Caine']",['Louis Leterrier']
27,The Wolf of Wall Street,The Wolf of Wall Street,"$18,361,578",2013-12-25,"2,537","$116,900,694","['Leonardo DiCaprio', 'Jonah Hill', 'Matthew McConaughey', 'Margot Robbie', 'Jon Favreau', 'Rob Reiner']",['Martin Scorsese']
28,Lee Daniels' The Butler,Lee Daniels' The Butler,"$24,637,312",2013-08-16,"2,933","$116,632,095","['Forest Whitaker', 'Oprah Winfrey', 'John Cusack', 'Cuba Gooding, Jr.', 'Terrence Howard', 'Lenny Kravitz', 'James Marsden', 'David Oyelowo', 'Alan Rickman', 'Liev Schreiber', 'Robin Williams', 'Minka Kelly*', 'Alex Pettyfer*']",['Lee Daniels']
29,The Hangover Part III,The Hangover Part III,"$41,671,198",2013-05-23,"3,555","$112,200,072","['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis', 'Justin Bartha', 'John Goodman', 'Melissa McCarthy']",['Todd Phillips']
30,Epic,Epic,"$33,531,068",2013-05-24,"3,882","$107,518,682","['Beyonce Knowles', 'Colin Farrell', 'Josh Hutcherson', 'Amanda Seyfried', 'Aziz Ansari', 'Jason Sudeikis', 'Christoph Waltz']",['Chris Wedge']
31,Captain Phillips,Captain Phillips,"$25,718,314",2013-10-11,"3,020","$107,100,855",['Tom Hanks'],['Paul Greengrass']
32,Jackass Presents: Bad Grandpa,Jackass Presents: Bad Grandpa,"$32,055,177",2013-10-25,"3,336","$102,003,019",,['Jeff Tremaine']
33,Pacific Rim,Pacific Rim,"$37,285,325",2013-07-12,"3,275","$101,802,906","['Idris Elba', 'Charlie Day', 'Ron Perlman']",['Guillermo del Toro']
34,This is the End,This is the End,"$20,719,162",2013-06-12,"3,055","$101,470,202","['James Franco', 'Jonah Hill', 'Seth Rogen', 'Jay Baruchel', 'Danny McBride', 'Michael Cera', 'Emma Watson', 'Kevin Hart*']","['Evan Goldberg', 'Seth Rogen']"
35,Olympus Has Fallen,Olympus Has Fallen,"$30,373,794",2013-03-22,"3,098","$98,925,640","['Gerard Butler', 'Aaron Eckhart', 'Morgan Freeman', 'Angela Bassett', 'Ashley Judd', 'Melissa Leo', 'Radha Mitchell']",['Antoine Fuqua']
36,42,42,"$27,487,144",2013-04-12,"3,003","$95,020,213","['Chadwick Boseman', 'Harrison Ford', 'Alan Tudyk', 'Lucas Black']",['Brian Helgeland']
37,Elysium,Elysium,"$29,807,393",2013-08-09,"3,284","$93,050,117","['Matt Damon', 'Jodie Foster', 'Sharlto Copley', 'Diego Luna']",['Neill Blomkamp']
38,Planes,Planes,"$22,232,291",2013-08-09,"3,702","$90,288,712","['Val Kilmer', 'Larry the Cable Guy*', 'Cedric the Entertainer*']",['Klay Hall']
39,The Lone Ranger,The Lone Ranger,"$29,210,849",2013-07-03,"3,904","$89,302,115","['Johnny Depp', 'Armie Hammer', 'Tom Wilkinson', 'Helena Bonham Carter']",['Gore Verbinski']
40,Oblivion,Oblivion,"$37,054,485",2013-04-19,"3,783","$89,107,235","['Tom Cruise', 'Morgan Freeman', 'Olga Kurylenko', 'Melissa Leo']",['Joseph Kosinski']
41,Insidious Chapter 2,Insidious Chapter 2,"$40,272,103",2013-09-13,"3,049","$83,586,447","['Rose Byrne', 'Patrick Wilson']",['James Wan']
42,Saving Mr. Banks,Saving Mr. Banks,"$413,373",2013-12-13,15,"$83,301,580","['Emma Thompson', 'Tom Hanks', 'Colin Farrell', 'Paul Giamatti', 'Jason Schwartzman']",['John Lee Hancock']
43,Turbo,Turbo,"$21,312,625",2013-07-17,"3,806","$83,028,128","['Ryan Reynolds', 'Paul Giamatti', 'Samuel L. Jackson', 'Michelle Rodriguez', 'Snoop Dogg']",['David Soren']
44,2 Guns,2 Guns,"$27,059,130",2013-08-02,"3,025","$75,612,460","['Denzel Washington', 'Mark Wahlberg', 'Paula Patton', 'Bill Paxton', 'James Marsden']",['Baltasar Kormakur']
45,White House Down,White House Down,"$24,852,258",2013-06-28,"3,222","$73,103,784","['Channing Tatum', 'Jamie Foxx', 'Maggie Gyllenhaal', 'Joey King']",['Roland Emmerich']
46,Mama,Mama,"$28,402,310",2013-01-18,"2,647","$71,628,180",['Jessica Chastain'],['Andres Muschietti']
47,Safe Haven,Safe Haven,"$21,401,594",2013-02-14,"3,223","$71,349,120","['Julianne Hough', 'Josh Duhamel']",['Lasse Hallstrom']
48,The Smurfs 2,The Smurfs 2,"$17,548,389",2013-07-31,"3,866","$71,017,784","['Neil Patrick Harris', 'Brendan Gleeson', 'Christina Ricci', 'Anton Yelchin']",['Raja Gosnell']
49,The Best Man Holiday,The Best Man Holiday,"$30,107,555",2013-11-15,"2,024","$70,525,195","['Morris Chestnut', 'Regina Hall', 'Terrence Howard', 'Sanaa Lathan', 'Nia Long']",['Malcolm D. Lee']
50,Percy Jackson: Sea of Monsters,Percy Jackson: Sea of Monsters,"$14,401,054",2013-08-07,"3,031","$68,559,554","['Logan Lerman', 'Brandon T. Jackson', 'Stanley Tucci', 'Sean Bean']",['Thor Freudenthal']
51,A Good Day to Die Hard,A Good Day to Die Hard,"$24,834,845",2013-02-14,"3,553","$67,349,198","['Bruce Willis', 'Jai Courtney', 'Mary Elizabeth Winstead*']",['John Moore']
52,Warm Bodies,Warm Bodies,"$20,353,967",2013-02-01,"3,009","$66,380,662","['Nicholas Hoult', 'Teresa Palmer', 'Analeigh Tipton', 'Dave Franco', 'John Malkovich']",['Jonathan Levine']
53,Jack the Giant Slayer,Jack the Giant Slayer,"$27,202,226",2013-03-01,"3,525","$65,187,603","['Ewen Bremner', 'Nicholas Hoult', 'Ewan McGregor', 'Stanley Tucci']",['Bryan Singer']
54,The Purge,The Purge,"$34,058,360",2013-06-07,"2,536","$64,473,115","['Ethan Hawke', 'Lena Headey']",['James DeMonaco']
55,Last Vegas,Last Vegas,"$16,334,566",2013-11-01,"3,065","$63,914,167","['Michael Douglas', 'Robert DeNiro', 'Morgan Freeman', 'Kevin Kline']",['Jon Turteltaub']
56,Ender's Game,Ender's Game,"$27,017,351",2013-11-01,"3,407","$61,737,191","['Harrison Ford', 'Abigail Breslin', 'Hailee Steinfeld', 'Viola Davis', 'Ben Kingsley']",[]
57,Prisoners,Prisoners,"$20,817,053",2013-09-20,"3,260","$61,002,302","['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis', 'Maria Bello', 'Terrence Howard', 'Melissa Leo', 'Paul Dano']",['Denis Villeneuve']
58,After Earth,After Earth,"$27,520,040",2013-05-31,"3,401","$60,522,097","['Kristofer Hivju', 'Jaden Smith', 'Will Smith']",['M. Night Shyamalan']
59,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,"$12,765,508",2013-12-25,"2,909","$58,236,838","['Ben Stiller', 'Kristen Wiig', 'Sean Penn', 'Adam Scott']",['Ben Stiller']
