,actors,director,imdb,metacritic,movie,rated,rotten_tomatoes,runtime,year
175,"Jason Bateman, Tina Fey, Jane Fonda, Adam Driver",Shawn Levy,6.6/10,44/100,This is Where I Leave You,R,42%,103 min,2014
176,"Mark Wahlberg, George Kennedy, Griffin Cleveland, Jessica Lange",Rupert Wyatt,6.0/10,55/100,The Gambler,R,44%,111 min,2014
177,"Andrew Jacobs, Jorge Diaz, Gabrielle Walsh, Renee Victor",Christopher Landon,5.0/10,42/100,Paranormal Activity: The Marked Ones,R,38%,84 min,2014
178,"Jake Gyllenhaal, Michael Papajohn, Marco Rodríguez, Bill Paxton",Dan Gilroy,7.9/10,76/100,Nightcrawler,R,95%,118 min,2014
179,"Jon Favreau, John Leguizamo, Bobby Cannavale, Emjay Anthony",Jon Favreau,7.3/10,68/100,Chef,R,87%,114 min,2014
180,"Chadwick Boseman, Nelsan Ellis, Dan Aykroyd, Viola Davis",Tate Taylor,6.9/10,71/100,Get On Up,PG-13,80%,139 min,2014
181,"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen",McG,6.2/10,40/100,3 Days to Kill,PG-13,28%,117 min,2014
182,"Eric Bana, Edgar Ramírez, Olivia Munn, Chris Coy",Scott Derrickson,6.2/10,40/100,Deliver Us From Evil,R,29%,118 min,2014
183,"Jim Caviezel, Michael Chiklis, Alexander Ludwig, Clancy Brown",Thomas Carter,6.7/10,41/100,When the Game Stands Tall,PG,20%,115 min,2014
184,"Chris Berman, Dave Donaldson, Patrick St. Esprit, Chi McBride",Ivan Reitman,6.8/10,54/100,Draft Day,PG-13,59%,110 min,2014
185,"Karen Gillan, Brenton Thwaites, Katee Sackhoff, Rory Cochrane",Mike Flanagan,6.5/10,61/100,Oculus,R,73%,104 min,2013
186,"Michelle Monaghan, James Marsden, Luke Bracey, Liana Liberato",Michael Hoffman,6.7/10,29/100,The Best of Me,PG-13,8%,118 min,2014
187,"Liam Neeson, Maurice Compte, Patrick McDade, Luciano Acuna Jr.",Scott Frank,6.5/10,57/100,A Walk Among the Tombstones,R,66%,114 min,2014
188,"Zac Efron, Miles Teller, Michael B. Jordan, Imogen Poots",Tom Gormican,6.2/10,36/100,That Awkward Moment,R,22%,94 min,2014
189,"Ellar Coltrane, Patricia Arquette, Elijah Smith, Lorelei Linklater",Richard Linklater,7.9/10,100/100,Boyhood,R,97%,165 min,2014
190,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver",J.J. Abrams,8.0/10,81/100,Star Wars: The Force Awakens,PG-13,93%,136 min,2015
191,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio",Colin Trevorrow,7.0/10,59/100,Jurassic World,PG-13,71%,124 min,2015
192,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",Joss Whedon,7.4/10,66/100,Avengers: Age of Ultron,PG-13,75%,141 min,2015
193,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader","Pete Docter, Ronnie Del Carmen(co-director)",8.2/10,94/100,Inside Out,PG,98%,95 min,2015
194,"Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez",James Wan,7.2/10,67/100,Furious 7,PG-13,80%,137 min,2015
195,"Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney","Kyle Balda, Pierre Coffin",6.4/10,56/100,Minions,PG,56%,91 min,2015
196,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",Francis Lawrence,6.5/10,65/100,The Hunger Games: Mockingjay - Part 2,PG-13,70%,137 min,2015
197,"Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels",Ridley Scott,8.0/10,80/100,The Martian,PG-13,91%,144 min,2015
198,"Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter",Kenneth Branagh,6.9/10,67/100,Cinderella,PG,84%,105 min,2015
199,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",Sam Mendes,6.8/10,60/100,Spectre,PG-13,63%,148 min,2015
200,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson",Christopher McQuarrie,7.4/10,75/100,Mission: Impossible - Rogue Nation,PG-13,93%,131 min,2015
201,"Anna Kendrick, Rebel Wilson, Hailee Steinfeld, Brittany Snow",Elizabeth Banks,6.4/10,63/100,Pitch Perfect 2,PG-13,65%,115 min,2015
202,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter",Alejandro G. Iñárritu,8.0/10,76/100,The Revenant,R,80%,156 min,2015
203,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll",Peyton Reed,7.3/10,64/100,Ant-Man,PG-13,82%,117 min,2015
204,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez",Tim Johnson,6.7/10,55/100,Home,PG,48%,94 min,2015
205,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James",Genndy Tartakovsky,6.7/10,44/100,Hotel Transylvania 2,PG,55%,89 min,2015
206,"Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford",Sam Taylor-Johnson,4.1/10,46/100,Fifty Shades of Grey,R,25%,125 min,2015
207,"Antonio Banderas, Eric Bauza, Tim Conway, Eddie Deezen","Paul Tibbitt, Mike Mitchell",6.0/10,62/100,The SpongeBob Movie: Sponge Out of Water,PG,80%,92 min,2015
208,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr.",F. Gary Gray,7.9/10,72/100,Straight Outta Compton,R,87%,147 min,2015
209,"Dwayne Johnson, Carla Gugino, Alexandra Daddario, Ioan Gruffudd",Brad Peyton,6.1/10,43/100,San Andreas,PG-13,50%,114 min,2015
210,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne",George Miller,8.1/10,90/100,Mad Max: Fury Road,R,97%,120 min,2015
211,"Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church",Sean Anders,6.1/10,42/100,Daddy's Home,PG-13,31%,96 min,2015
212,"Trombone Shorty, Rebecca Bloom, Anastasia Bredikhina, Francesca Capaldi",Steve Martino,7.1/10,67/100,The Peanuts Movie,G,87%,88 min,2015
213,"Adrian Quinton, Colin Firth, Mark Strong, Jonno Davies",Matthew Vaughn,7.7/10,60/100,Kingsman: The Secret Service,R,74%,129 min,2014
214,"Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla, Ryan Teeple",Peter Sohn,6.7/10,66/100,The Good Dinosaur,PG,77%,93 min,2015
215,"Jude Law, Raad Rawi, Melissa McCarthy, Jessica Chaffin",Paul Feig,7.0/10,75/100,Spy,R,94%,119 min,2015
216,"Colin Quinn, Devin Fabry, Carla Oudin, Amy Schumer",Judd Apatow,6.2/10,75/100,Trainwreck,R,86%,125 min,2015
217,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",Ryan Coogler,7.6/10,82/100,Creed,PG-13,95%,133 min,2015
218,"George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy",Brad Bird,6.5/10,60/100,Tomorrowland,PG,50%,130 min,2015
219,"Will Ferrell, Kevin Hart, Craig T. Nelson, Alison Brie",Etan Cohen,6.0/10,34/100,Get Hard,R,29%,100 min,2015
220,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney",Alan Taylor,6.5/10,38/100,Terminator: Genisys,PG-13,26%,126 min,2015
221,"Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace",Olivier Megaton,6.0/10,26/100,Taken 3,PG-13,12%,108 min,2014
222,"Amy Poehler, Tina Fey, Maya Rudolph, Ike Barinholtz",Jason Moore,6.0/10,58/100,Sisters,R,60%,118 min,2015
223,"Jason Lee, Justin Long, Matthew Gray Gubler, Jesse McCartney",Walt Becker,5.1/10,33/100,Alvin and the Chipmunks: The Road Chip,PG,15%,92 min,2015
224,"Dylan O'Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster",Wes Ball,6.3/10,43/100,Maze Runner: The Scorch Trials,PG-13,46%,131 min,2015
225,"Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth",Seth MacFarlane,6.3/10,48/100,Ted 2,R,46%,115 min,2015
226,"Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee",Rob Letterman,6.3/10,60/100,Goosebumps,PG,76%,103 min,2015
227,"Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage",Chris Columbus,5.6/10,27/100,Pixels,PG-13,17%,105 min,2015
228,"Tim Downie, Madeleine Worrall, Lottie Steer, Geoffrey Palmer",Paul King,7.2/10,77/100,Paddington,PG,98%,95 min,2014
229,"Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm",Nancy Meyers,7.1/10,51/100,The Intern,PG-13,60%,121 min,2015
230,"Mark Rylance, Domenick Lombardozzi, Victor Verhaeghe, Mark Fichera",Steven Spielberg,7.6/10,81/100,Bridge of Spies,PG-13,91%,142 min,2015
231,"Kevin James, Raini Rodriguez, Neal McDonough, Daniella Alonso",Andy Fickman,4.4/10,13/100,Paul Blart: Mall Cop 2,PG,5%,94 min,2015
232,"Ryan Gosling, Rudy Eisenzopf, Casey Groves, Charlie Talbert",Adam McKay,7.8/10,81/100,The Big Short,R,88%,130 min,2015
233,"Karen Abercrombie, Priscilla C. Shirer, T.C. Stallings, Tenae Downing",Alex Kendrick,6.4/10,26/100,War Room,PG,33%,120 min,2015
234,"Channing Tatum, Juan Piedrahita, Sharon Blackwood, Alison Faulk",Gregory Jacobs,5.6/10,60/100,Magic Mike XXL,R,65%,115 min,2015
235,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie",M. Night Shyamalan,6.2/10,55/100,The Visit,PG-13,65%,94 min,2015
236,"Kevin Hart, Josh Gad, Affion Crockett, Kaley Cuoco",Jeremy Garelick,6.7/10,35/100,The Wedding Ringer,R,28%,101 min,2015
237,"Johnny Depp, Joel Edgerton, Benedict Cumberbatch, Dakota Johnson",Scott Cooper,6.9/10,68/100,Black Mass,R,73%,123 min,2015
238,"Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins","John Francis Daley, Jonathan Goldstein",6.1/10,34/100,Vacation,R,26%,99 min,2015
239,"Sanaa Lathan, Michael Ealy, Morris Chestnut, L. Scott Caldwell",David M. Rosenthal,5.6/10,36/100,The Perfect Guy,PG-13,19%,100 min,2015
240,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez",David O. Russell,6.6/10,56/100,Joy,PG-13,59%,124 min,2015
241,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis",Tim Story,5.7/10,40/100,Fantastic Four,PG-13,27%,106 min,2005
242,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",Quentin Tarantino,7.8/10,68/100,The Hateful Eight,R,75%,187 min,2015
243,"Will Smith, Margot Robbie, Adrian Martinez, Gerald McRaney","Glenn Ficarra, John Requa",6.6/10,56/100,Focus,R,56%,105 min,2015
244,"Jake Gyllenhaal, Rachel McAdams, Forest Whitaker, Oona Laurence",Antoine Fuqua,7.4/10,57/100,Southpaw,R,59%,124 min,2015
245,"Dermot Mulroney, Stefanie Scott, Angus Sampson, Leigh Whannell",Leigh Whannell,6.1/10,52/100,Insidious Chapter 3,PG-13,58%,97 min,2015
246,"Craig T. Nelson, JoBeth Williams, Beatrice Straight, Dominique Dunne",Tobe Hooper,7.4/10,79/100,Poltergeist,PG,86%,114 min,1982
247,"Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne","Lana Wachowski, Lilly Wachowski",5.3/10,40/100,Jupiter Ascending,PG-13,26%,127 min,2015
248,"Emily Blunt, Benicio Del Toro, Josh Brolin, Victor Garber",Denis Villeneuve,7.6/10,82/100,Sicario,R,93%,121 min,2015
249,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki",Guy Ritchie,7.3/10,56/100,The Man From U.N.C.L.E.,PG-13,66%,116 min,2015
250,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber",Tom McCarthy,8.1/10,93/100,Spotlight,R,97%,128 min,2015
251,"Kevin Costner, Ramiro Rodriguez, Carlos Pratts, Johnny Ortiz",Niki Caro,7.4/10,60/100,"McFarland, USA",PG,80%,129 min,2015
252,"Jason Bateman, Rebecca Hall, Joel Edgerton, Allison Tolman",Joel Edgerton,7.1/10,77/100,The Gift,R,92%,108 min,2015
253,"Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson",Baltasar Kormákur,7.1/10,64/100,Everest,PG-13,73%,121 min,2015
254,"Joseph Gordon-Levitt, Seth Rogen, Anthony Mackie, Jillian Bell",Jonathan Levine,6.4/10,58/100,The Night Before,R,66%,101 min,2015
255,"Emjay Anthony, Adam Scott, Toni Collette, Stefania LaVie Owen",Michael Dougherty,6.2/10,49/100,Krampus,PG-13,65%,98 min,2015
256,"Thomas Haden Church, Josh Wiggins, Luke Kleintank, Lauren Graham",Boaz Yakin,6.8/10,47/100,Max,PG,35%,111 min,2015
257,"Blake Lively, Michiel Huisman, Harrison Ford, Ellen Burstyn",Lee Toland Krieger,7.2/10,51/100,The Age of Adaline,PG-13,56%,112 min,2015
258,"Saoirse Ronan, Hugh Gormley, Brid Brennan, Maeve McGrath",John Crowley,7.5/10,87/100,Brooklyn,PG-13,97%,117 min,2015
259,"Britt Robertson, Scott Eastwood, Alan Alda, Jack Huston",George Tillman Jr.,7.1/10,33/100,The Longest Ride,PG-13,29%,123 min,2015
260,"Jennifer Lopez, Ryan Guzman, Ian Nelson, John Corbett",Rob Cohen,4.7/10,30/100,The Boy Next Door,R,10%,91 min,2015
261,"Hugh Jackman, Levi Miller, Garrett Hedlund, Rooney Mara",Joe Wright,5.8/10,36/100,Pan,PG,27%,111 min,2015
262,"Reese Witherspoon, Sofía Vergara, Matthew Del Negro, Michael Mosley",Anne Fletcher,5.1/10,31/100,Hot Pursuit,PG-13,7%,87 min,2015
263,"Will Smith, Alec Baldwin, Albert Brooks, Gugu Mbatha-Raw",Peter Landesman,7.1/10,55/100,Concussion,PG-13,60%,123 min,2015
264,"Mae Whitman, Robbie Amell, Bella Thorne, Bianca A. Santos",Ari Sandel,6.5/10,56/100,The DUFF,PG-13,71%,101 min,2015
265,"Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes",Simon Curtis,7.3/10,51/100,Woman in Gold,PG-13,55%,109 min,2015
266,"Dev Patel, Maggie Smith, Danny Mahoney, David Strathairn",John Madden,6.6/10,51/100,The Second Best Exotic Marigold Hotel,PG,64%,122 min,2015
267,"Heather Sossaman, Matthew Bohrer, Courtney Halverson, Shelley Hennig",Levan Gabriadze,5.6/10,59/100,Unfriended,R,63%,83 min,2014
268,"Nat Wolff, Cara Delevingne, Austin Abrams, Justice Smith",Jake Schreier,6.3/10,56/100,Paper Towns,PG-13,56%,109 min,2015
269,"Sharlto Copley, Dev Patel, Ninja, Yo-Landi Visser",Neill Blomkamp,6.8/10,41/100,Chappie,R,32%,120 min,2015
270,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam",Guillermo del Toro,6.5/10,66/100,Crimson Peak,R,71%,119 min,2015
271,"Robert Redford, Nick Nolte, Emma Thompson, Mary Steenburgen",Ken Kwapis,6.3/10,51/100,A Walk in the Woods,R,46%,104 min,2015
272,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty",Kathryn Bigelow,7.2/10,58/100,Point Break,R,68%,122 min,1991
273,"James Ransone, Shannyn Sossamon, Robert Daniel Sloan, Dartanian Sloan",Ciarán Foy,5.3/10,32/100,Sinister 2,R,13%,97 min,2015
274,"Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson",Breck Eisner,6.0/10,34/100,The Last Witch Hunter,PG-13,17%,106 min,2015
275,"Owen Wilson, Lake Bell, Sterling Jerins, Claire Geare",John Erick Dowdle,6.8/10,38/100,No Escape,R,45%,103 min,2015
276,"Meryl Streep, Rick Springfield, Rick Rosas, Joe Vitale",Jonathan Demme,5.9/10,54/100,Ricki and the Flash,PG-13,63%,101 min,2015
277,"Phoebe Fox, Merryn Pearse, Mary Roscoe, Helen McCrory",Tom Harper,4.9/10,42/100,The Woman in Black 2: Angel of Death,PG-13,22%,98 min,2014
278,"Liam Neeson, Ed Harris, Joel Kinnaman, Boyd Holbrook",Jaume Collet-Serra,6.6/10,59/100,Run All Night,R,60%,114 min,2015
279,"Steve Martin, Diane Keaton, John Goodman, Ed Helms",Jessie Nelson,5.7/10,31/100,Love the Coopers,PG-13,19%,107 min,2015
280,"Domhnall Gleeson, Alicia Vikander, Oscar Isaac, Sonoya Mizuno",Alex Garland,7.7/10,78/100,Ex Machina,R,92%,108 min,2014
281,"Chris Hemsworth, Benjamin Walker, Cillian Murphy, Brendan Gleeson",Ron Howard,6.9/10,47/100,In the Heart of the Sea,PG-13,42%,122 min,2015
282,"Reese Mishler, Pfeifer Brown, Ryan Shoos, Cassidy Gifford","Travis Cluff, Chris Lofing",4.2/10,30/100,The Gallows,R,16%,81 min,2015
283,"Angelababy, Dan Bakkedahl, Charlene Beck, Michael Bornhütter",Aleksander Bach,5.7/10,28/100,Hitman: Agent 47,R,9%,96 min,2015
284,"Jonny Weston, Sofia Black-D'Elia, Sam Lerner, Allen Evangelista",Dean Israelite,6.4/10,47/100,Project Almanac,PG-13,37%,106 min,2015
285,"Kevin Costner, Octavia Spencer, Jillian Estell, Bill Burr",Mike Binder,6.6/10,45/100,Black or White,PG-13,41%,121 min,2014
286,"Bradley Cooper, Emma Stone, Rachel McAdams, Bill Murray",Cameron Crowe,5.4/10,40/100,Aloha,PG-13,19%,105 min,2015
287,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",Gareth Edwards,7.8/10,65/100,Rogue One: A Star Wars Story,PG-13,85%,133 min,2016
288,"Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson","Andrew Stanton, Angus MacLane(co-director)",7.4/10,77/100,Finding Dory,PG,94%,97 min,2016
289,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","Anthony Russo, Joe Russo",7.8/10,75/100,Captain America: Civil War,PG-13,91%,147 min,2016
290,"Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate","Chris Renaud, Yarrow Cheney(co-director)",6.5/10,61/100,The Secret Life of Pets,PG,75%,87 min,2016
291,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",Jon Favreau,7.5/10,77/100,The Jungle Book,PG,95%,106 min,2016
292,"Ryan Reynolds, Karan Soni, Ed Skrein, Michael Benyaer",Tim Miller,8.0/10,65/100,Deadpool,R,83%,108 min,2016
293,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate","Byron Howard, Rich Moore, Jared Bush(co-director)",8.0/10,78/100,Zootopia,PG,98%,108 min,2016
294,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",Zack Snyder,6.6/10,44/100,Batman v Superman: Dawn of Justice,PG-13,27%,151 min,2016
295,"Will Smith, Jaime FitzSimons, Ike Barinholtz, Margot Robbie",David Ayer,6.1/10,40/100,Suicide Squad,PG-13,26%,123 min,2016
296,"Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson","Garth Jennings, Christophe Lourdelet(co-director)",7.1/10,59/100,Sing,PG,73%,108 min,2016
297,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison","Ron Clements, John Musker, Don Hall(co-director), Chris Williams(co-director)",7.6/10,81/100,Moana,PG,96%,107 min,2016
298,"Eddie Redmayne, Sam Redford, Scott Goldman, Tim Bentinck",David Yates,7.4/10,66/100,Fantastic Beasts and Where To Find Them,PG-13,74%,133 min,2016
299,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",Scott Derrickson,7.5/10,72/100,Doctor Strange,PG-13,89%,115 min,2016
300,"Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner",Theodore Melfi,7.8/10,74/100,Hidden Figures,PG,93%,127 min,2016
301,"Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel",Paul Greengrass,6.6/10,58/100,Jason Bourne,PG-13,55%,123 min,2016
302,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana",Justin Lin,7.1/10,68/100,Star Trek Beyond,PG-13,85%,122 min,2016
303,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",Bryan Singer,7.0/10,52/100,X-Men: Apocalypse,PG-13,48%,144 min,2016
304,"Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse","Mike Mitchell, Walt Dohrn(co-director)",6.5/10,56/100,Trolls,PG,73%,92 min,2016
305,"Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters",Damien Chazelle,8.1/10,93/100,La La Land,PG-13,92%,128 min,2016
306,"Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie","Alessandro Carloni, Jennifer Yuh Nelson",7.1/10,66/100,Kung Fu Panda 3,PG,86%,95 min,2016
307,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",Ivan Reitman,7.8/10,71/100,Ghostbusters,PG,97%,105 min,1984
308,"Dwayne Johnson, Kevin Hart, Amy Ryan, Danielle Nicolet",Rawson Marshall Thurber,6.3/10,52/100,Central Intelligence,PG-13,70%,107 min,2016
309,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz",David Yates,6.3/10,44/100,The Legend of Tarzan,PG-13,36%,110 min,2016
310,"Tom Hanks, Aaron Eckhart, Valerie Mahaffey, Delphi Harrington",Clint Eastwood,7.5/10,74/100,Sully,PG-13,86%,96 min,2016
311,"Mila Kunis, Kathryn Hahn, Kristen Bell, Christina Applegate","Jon Lucas, Scott Moore",6.2/10,60/100,Bad Moms,R,58%,100 min,2016
312,"Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph","Clay Kaytis, Fergal Reilly",6.3/10,43/100,The Angry Birds Movie,PG,43%,97 min,2016
313,"Liam Hemsworth, Jeff Goldblum, Jessie T. Usher, Bill Pullman",Roland Emmerich,5.2/10,32/100,Independence Day: Resurgence,PG-13,31%,120 min,2016
314,"Patrick Wilson, Vera Farmiga, Madison Wolfe, Frances O'Connor",James Wan,7.4/10,65/100,The Conjuring 2,R,79%,134 min,2016
315,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",Denis Villeneuve,7.9/10,81/100,Arrival,PG-13,94%,116 min,2016
316,"Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne",Morten Tyldum,7.0/10,41/100,Passengers,PG-13,30%,116 min,2016
317,"Alistair Abell, Iris Apatow, Sugar Lyn Beard, Michael Cera","Greg Tiernan, Conrad Vernon",6.2/10,66/100,Sausage Party,R,82%,89 min,2016
318,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio",Antoine Fuqua,6.9/10,54/100,The Magnificent Seven,PG-13,63%,132 min,2016
319,"Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt",Tim Story,5.9/10,32/100,Ride Along 2,PG-13,13%,102 min,2016
320,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto",Fede Alvarez,7.1/10,71/100,Don't Breathe,R,87%,88 min,2016
321,"Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench",Tim Burton,6.7/10,57/100,Miss Peregrine's Home for Peculiar Children,PG-13,63%,127 min,2016
322,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal",Gavin O'Connor,7.4/10,51/100,The Accountant,R,52%,128 min,2016
323,"Megan Fox, Will Arnett, Laura Linney, Stephen Amell",Dave Green,6.0/10,40/100,Teenage Mutant Ninja Turtles: Out of the Shadows,PG-13,35%,112 min,2016
324,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria",James DeMonaco,6.0/10,55/100,The Purge: Election Year,R,53%,108 min,2016
325,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway",James Bobin,6.2/10,34/100,Alice Through the Looking Glass,PG,29%,113 min,2016
326,"Bryce Dallas Howard, Robert Redford, Oakes Fegley, Oona Laurence",David Lowery,6.7/10,71/100,Pete's Dragon,PG,87%,102 min,2016
327,"Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux",Tate Taylor,6.5/10,48/100,The Girl on the Train,R,44%,112 min,2016
328,"Tyler Perry, Cassi Davis, Patrice Lovely, Bella Thorne",Tyler Perry,4.6/10,30/100,Boo! A Madea Halloween,PG-13,23%,103 min,2016
329,"Andy Samberg, Katie Crown, Kelsey Grammer, Jennifer Aniston","Nicholas Stoller, Doug Sweetland",6.8/10,56/100,Storks,PG,63%,87 min,2016
330,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",Dan Trachtenberg,7.2/10,76/100,10 Cloverfield Lane,PG-13,90%,103 min,2016
331,"Teresa Palmer, Gabriel Bateman, Alexander DiPersia, Billy Burke",David F. Sandberg,6.3/10,58/100,Lights Out,PG-13,76%,81 min,2016
332,"Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson",Mel Gibson,8.2/10,71/100,Hacksaw Ridge,R,86%,139 min,2016
333,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco",Jon M. Chu,6.5/10,46/100,Now You See Me 2,PG-13,34%,129 min,2016
334,"Stephanie Beatriz, Robert Cardone, Neil deGrasse Tyson, Adam Devine","Mike Thurmeier, Galen T. Chu(co-director)",5.7/10,34/100,Ice Age: Collision Course,PG,16%,94 min,2016
335,"Melissa McCarthy, Kristen Bell, Peter Dinklage, Ella Anderson",Ben Falcone,5.4/10,40/100,The Boss,R,22%,99 min,2016
336,"Alon Aboutboul, Waleed Zuaiter, Adel Bencherif, Mehdi Dehbi",Babak Najafi,5.9/10,28/100,London Has Fallen,R,25%,99 min,2016
337,"Jennifer Garner, Kylie Rogers, Martin Henderson, Brighton Sharbino",Patricia Riggen,7.1/10,44/100,Miracles from Heaven,PG,43%,109 min,2016
338,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont",Peter Berg,7.2/10,68/100,Deepwater Horizon,PG-13,83%,107 min,2016
339,"Zoey Deutch, James Franco, Tangie Ambrose, Cedric the Entertainer",John Hamburg,6.2/10,39/100,Why Him?,R,39%,111 min,2016
340,"Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan",Kirk Jones,6.0/10,37/100,My Big Fat Greek Wedding 2,PG-13,28%,94 min,2016
341,"Tom Cruise, Cobie Smulders, Aldis Hodge, Danika Yarosh",Edward Zwick,6.1/10,47/100,Jack Reacher: Never Go Back,PG-13,37%,118 min,2016
342,"Denzel Washington, Viola Davis, Stephen Henderson, Jovan Adepo",Denzel Washington,7.2/10,79/100,Fences,PG-13,94%,139 min,2016
343,"Sam Claflin, Vanessa Kirby, Emilia Clarke, Eileen Dunwoodie",Thea Sharrock,7.4/10,51/100,Me Before You,PG-13,56%,106 min,2016
344,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement",Steven Spielberg,6.4/10,66/100,The BFG,PG,75%,117 min,2016
345,"Seth Rogen, Zac Efron, Rose Byrne, Chloë Grace Moretz",Nicholas Stoller,5.7/10,58/100,Neighbors 2: Sorority Rising,R,62%,92 min,2016
346,"Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Joseph Salas",Jaume Collet-Serra,6.3/10,59/100,The Shallows,PG-13,78%,86 min,2016
347,"Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston","Josh Gordon, Will Speck",5.8/10,42/100,Office Christmas Party,R,41%,105 min,2016
