,STATION,lat,lng
139,BEACH 36 ST,40.59553349999999,-73.7681252
140,BEACH 44 ST,40.5929069,-73.77598200000001
141,BEACH 60 ST,40.592374,-73.788522
142,BEACH 67 ST,40.5909252,-73.7963094
143,BEACH 90 ST,40.5879159,-73.8141345
144,BEACH 98 ST,40.5855231,-73.82042919999999
145,BEDFORD AV,40.717793,-73.9575191
146,BEDFORD PK BLVD,40.87336639999999,-73.89017919999999
147,BEDFORD-NOSTRAN,40.6899751,-73.9516093
148,BERGEN ST,40.6868943,-73.9905278
149,BEVERLEY ROAD,40.6442291,-73.96449799999999
150,BEVERLY RD,40.6442291,-73.96449799999999
151,BLEECKER ST,40.7250151,-73.9956959
152,BOROUGH HALL,40.6923458,-73.987257
153,BOTANIC GARDEN,40.8672174,-73.8817164
154,BOWERY,40.7203142,-73.9934421
155,BOWLING GREEN,40.7046465,-74.013544
156,BRIARWOOD,40.7092812,-73.8199405
157,BRIGHTON BEACH,40.5776648,-73.9612769
158,BROAD CHANNEL,40.6083805,-73.8159112
159,BROAD ST,40.7070231,-74.01088360000001
160,BROADWAY JCT,41.0353239,-73.86546
161,BROADWAY,40.7623472,-73.9256595
162,BRONX PARK EAST,40.848828,-73.86845699999999
163,BROOK AV,40.8077543,-73.91935649999999
164,BROOKLYN BRIDGE,40.7060855,-73.9968643
165,BUHRE AV,40.84681,-73.83256899999999
166,BURKE AV,40.871356,-73.867164
167,BURNSIDE AV,40.85345299999999,-73.90768400000002
168,BUSHWICK AV,40.6823164,-73.9051425
169,CANAL ST,40.7189232,-74.0010862
170,CANARSIE-ROCKAW,40.6465706,-73.9019465
171,CARROLL ST,40.67925109999999,-73.9957742
172,CASTLE HILL AV,40.8342899,-73.85154419999999
173,CATHEDRAL PKWY,40.8039733,-73.9666165
174,CENTRAL PK N110,40.7984831,-73.9526131
175,CHAMBERS ST,40.7130543,-74.00410269999999
176,CHAUNCEY ST,40.682893,-73.910456
177,CHRISTOPHER ST,40.7330459,-74.00705219999999
178,CHURCH AV,40.6431768,-73.9793509
179,CITY / BUS,40.7568934,-73.9903559
180,CITY HALL,40.713469,-74.0067357
181,CLARK ST,40.6977218,-73.99297899999999
182,CLASSON AV,40.688873,-73.96007
183,CLEVELAND ST,40.679947,-73.88463899999999
184,CLINTON-WASH AV,40.6880915,-73.9675499
185,CORTELYOU RD,40.6412679,-73.9639359
186,CORTLANDT ST,40.7108803,-74.0107666
187,COURT SQ,40.7467885,-73.944548
188,COURT SQ-23 ST,40.7467885,-73.944548
189,CRESCENT ST,40.6834543,-73.8726263
190,CROWN HTS-UTICA,40.6689471,-73.93184
191,CYPRESS AV,40.805368,-73.914042
192,CYPRESS HILLS,40.689941,-73.87254999999999
193,DEKALB AV,40.6898115,-73.9811745
194,DELANCEY/ESSEX,40.718613,-73.988113
195,DITMAS AV,40.6354536,-73.9782548
196,DYCKMAN ST,40.8652172,-73.9272555
197,E 143/ST MARY'S,40.80834919999999,-73.9076307
198,E 149 ST,40.818323,-73.92718280000001
199,E 180 ST,40.841894,-73.873488
200,EAST 105 ST,40.6513735,-73.89900279999999
201,EAST BROADWAY,40.7144029,-73.98991880000001
202,EASTCHSTER/DYRE,40.8883,-73.830834
203,EASTN PKWY-MUSM,40.6718194,-73.964328
204,ELDER AV,40.828601,-73.87917159999999
205,ELMHURST AV,40.7484876,-73.87653279999999
206,EUCLID AV,40.675377,-73.872106
207,EXCHANGE PLACE,40.71676,-74.03238
208,FAR ROCKAWAY,40.6077369,-73.7517445
209,FLATBUSH AV-B.C,40.684901,-73.97767999999999
210,FLUSHING AV,40.7007225,-73.941931
211,FLUSHING-MAIN,40.759699,-73.829978
212,FORDHAM RD,40.8614658,-73.8905425
213,FOREST AVE,40.71969410000001,-73.84473129999999
214,FOREST HILLS 71,40.71969410000001,-73.84473129999999
215,FRANKLIN AV,40.6807712,-73.95587139999999
