Zip,Median,Median_adjusted,Mean
10927,"46,499","52,079","64,351"
10928,"66,151","74,089","72,944"
10930,"104,131","116,627","119,779"
10931,"87,257","97,728","109,166"
10932,"76,397","85,565","84,642"
10933,"85,941","96,254","95,410"
10940,"57,731","64,659","69,070"
10941,"67,488","75,587","80,139"
10950,"65,251","73,081","79,974"
10952,"66,193","74,136","90,002"
10953,"66,650","74,648","101,518"
10954,"93,219","104,406","106,608"
10956,"114,523","128,266","138,476"
10958,"100,108","112,121","105,058"
10960,"78,145","87,522","107,534"
10962,"117,728","131,856","134,733"
10963,"76,427","85,598","86,709"
10964,"79,958","89,553","108,530"
10965,"103,487","115,906","125,374"
10968,"92,045","103,090","129,291"
10969,"80,186","89,808","89,346"
10970,"89,426","100,157","107,338"
10973,"95,946","107,460","103,079"
10974,"87,353","97,835","100,576"
10975,"78,571","88,000","125,222"
10976,"87,986","98,544","119,907"
10977,"67,394","75,481","81,481"
10979,"74,809","83,786","87,065"
10980,"66,696","74,700","70,879"
10983,"91,703","102,708","109,710"
10984,"105,625","118,300","123,510"
10985,"82,773","92,706","94,400"
10987,"78,462","87,877","124,115"
10988,"85,941","96,254","95,410"
10989,"85,642","95,919","103,414"
10990,"91,662","102,662","106,921"
10992,"89,904","100,693","89,764"
10993,"54,508","61,049","72,676"
10994,"106,989","119,828","134,225"
10996,"92,841","103,982","126,289"
10998,"86,132","96,467","95,486"
11001,"96,705","108,309","111,213"
11003,"78,863","88,326","91,208"
11004,"75,304","84,340","84,522"
11005,"57,104","63,956","101,012"
11010,"82,519","92,421","96,237"
11020,"117,295","131,371","166,437"
11021,"100,154","112,173","150,972"
11023,"93,125","104,300","141,565"
11024,"121,655","136,253","190,653"
11030,"169,390","189,717","243,353"
11040,"98,762","110,614","116,894"
11042,"144,293","161,608","222,478"
11050,"114,602","128,354","163,839"
11096,"55,026","61,629","68,941"
11101,"39,955","44,750","51,519"
11102,"48,399","54,207","61,245"
11103,"52,495","58,794","66,421"
11104,"50,944","57,057","61,198"
11105,"54,570","61,118","68,395"
11106,"44,031","49,314","56,437"
11109,"117,750","131,880","151,032"
11201,"92,175","103,236","140,858"
11203,"47,788","53,523","60,025"
11204,"42,764","47,895","58,961"
11205,"42,904","48,052","57,437"
11206,"26,440","29,612","38,580"
11207,"34,729","38,897","44,634"
11208,"33,876","37,941","44,515"
11209,"56,907","63,735","78,505"
11210,"55,001","61,601","69,162"
11211,"37,632","42,148","52,061"
11212,"27,911","31,261","37,846"
11213,"35,085","39,295","46,614"
11214,"35,964","40,279","48,902"
11215,"81,331","91,091","109,384"
11216,"37,290","41,765","52,038"
11217,"72,611","81,324","102,950"
11218,"48,011","53,772","61,312"
11219,"34,970","39,166","50,737"
11220,"37,030","41,474","50,271"
11221,"34,005","38,086","46,670"
11222,"54,367","60,891","69,809"
11223,"39,421","44,151","53,996"
11224,"34,958","39,153","45,363"
11225,"39,782","44,556","52,485"
11226,"38,763","43,415","49,673"
11228,"55,200","61,824","73,658"
11229,"49,911","55,900","63,752"
11230,"47,496","53,196","64,348"
11231,"73,075","81,844","95,031"
11232,"34,808","38,985","45,834"
11233,"35,423","39,673","45,327"
11234,"67,953","76,107","77,077"
11235,"44,730","50,097","60,543"
11236,"59,568","66,716","69,801"
11237,"35,355","39,597","43,844"
11238,"61,469","68,845","79,249"
11239,"24,882","27,868","33,975"
11354,"50,019","56,022","63,009"
11355,"38,624","43,259","50,393"
11356,"67,808","75,945","80,098"
11357,"74,097","82,988","89,657"
11358,"66,312","74,270","80,189"
11360,"72,854","81,596","92,445"
11361,"70,983","79,501","84,896"
11362,"74,827","83,806","89,963"
11363,"92,955","104,110","118,589"
11364,"65,777","73,670","77,367"
