Zip,Median,Median_adjusted,Mean
37359,"29,235","32,743","36,925"
37360,"47,551","53,257","61,021"
37361,"34,560","38,707","45,914"
37362,"36,235","40,584","46,152"
37363,"66,971","75,008","80,968"
37365,"24,839","27,819","33,073"
37366,"34,573","38,722","36,855"
37367,"29,076","32,565","37,507"
37369,"37,923","42,474","44,917"
37370,"44,692","50,055","55,277"
37373,"42,121","47,175","62,112"
37374,"37,453","41,948","50,198"
37375,"53,986","60,464","62,173"
37376,"55,768","62,460","63,251"
37377,"74,455","83,389","112,507"
37379,"52,788","59,122","66,651"
37380,"36,098","40,429","48,360"
37381,"35,779","40,072","45,538"
37385,"31,211","34,956","41,318"
37387,"27,069","30,317","39,145"
37388,"39,231","43,939","51,100"
37391,"28,007","31,367","38,697"
37394,"45,404","50,852","60,368"
37396,"48,616","54,450","62,536"
37397,"36,395","40,762","46,599"
37398,"36,396","40,763","50,800"
37402,"14,060","15,747","21,351"
37403,"22,731","25,458","43,273"
37404,"24,380","27,306","32,425"
37405,"45,491","50,950","64,529"
37406,"24,213","27,118","30,626"
37407,"23,313","26,110","37,527"
37408,"17,976","20,133","32,910"
37409,"41,820","46,838","54,778"
37410,"15,245","17,074","24,018"
37411,"38,987","43,665","48,564"
37412,"39,900","44,688","47,491"
37415,"43,573","48,802","59,255"
37416,"46,061","51,588","56,838"
37419,"53,230","59,618","78,851"
37421,"61,621","69,016","75,806"
37601,"35,839","40,139","48,824"
37604,"36,981","41,419","50,439"
37615,"50,414","56,463","68,851"
37616,"37,550","42,056","44,642"
37617,"44,938","50,331","58,868"
37618,"39,290","44,005","48,838"
37620,"37,527","42,030","50,817"
37640,"27,684","31,006","36,682"
37641,"40,059","44,866","44,750"
37642,"37,349","41,831","47,372"
37643,"30,146","33,763","38,235"
37645,"45,509","50,970","56,066"
37650,"32,471","36,368","44,955"
37656,"46,725","52,332","58,249"
37657,"26,543","29,728","32,917"
37658,"25,790","28,885","33,652"
37659,"48,101","53,873","65,097"
37660,"37,552","42,058","49,316"
37663,"55,949","62,662","70,211"
37664,"47,522","53,224","59,994"
37665,"28,218","31,604","37,748"
37680,"30,164","33,784","38,528"
37681,"43,141","48,318","48,991"
37682,"43,555","48,782","60,302"
37683,"28,631","32,067","37,339"
37686,"45,649","51,126","65,752"
37687,"30,671","34,351","44,634"
37688,"31,000","34,720","48,199"
37690,"44,160","49,459","50,853"
37691,"30,164","33,784","38,528"
37692,"44,806","50,183","59,165"
37694,"31,425","35,196","44,841"
37701,"43,291","48,486","50,349"
37705,"45,273","50,706","56,660"
37708,"29,680","33,242","39,717"
37709,"35,346","39,587","45,437"
37710,"30,662","34,341","41,975"
37711,"32,756","36,686","44,923"
37713,"35,980","40,298","44,725"
37714,"35,728","40,016","50,895"
37715,"21,701","24,305","28,255"
37716,"45,423","50,874","54,224"
37719,"42,942","48,095","51,963"
37721,"48,137","53,913","56,521"
37722,"30,364","34,008","38,370"
37723,"36,296","40,651","44,999"
37724,"36,478","40,856","51,425"
37725,"43,196","48,380","54,916"
37726,"31,174","34,915","44,009"
37727,"32,037","35,881","40,259"
37729,"30,865","34,569","37,056"
37730,"19,770","22,142","26,401"
37731,"35,417","39,667","44,948"
37732,"24,933","27,925","39,118"
37733,"32,621","36,536","48,238"
37737,"51,699","57,903","62,136"
37738,"42,685","47,808","49,548"
37742,"49,582","55,532","63,530"
37743,"37,093","41,544","45,436"
37745,"36,005","40,325","47,969"
37748,"37,748","42,278","47,686"
37752,"36,174","40,515","43,155"
37753,"27,204","30,469","33,218"
37754,"47,930","53,682","57,094"
37755,"31,766","35,578","42,658"
37756,"30,519","34,181","39,298"
37757,"36,342","40,703","45,628"
37760,"34,353","38,475","45,527"
37762,"26,516","29,698","38,133"
37763,"46,621","52,215","59,582"
37764,"49,463","55,399","65,502"
37765,"26,086","29,216","36,516"
37766,"27,379","30,665","35,309"
37769,"30,269","33,901","40,974"
37770,"28,883","32,349","39,396"
37771,"38,242","42,831","49,972"
37772,"64,934","72,726","88,168"
37774,"52,793","59,128","63,596"
37777,"46,226","51,773","61,449"
37779,"30,225","33,853","38,068"
37801,"43,902","49,170","52,387"
37803,"54,464","60,999","70,355"
37804,"45,187","50,609","55,650"
37806,"48,556","54,383","52,334"
37807,"30,940","34,653","39,350"
37809,"31,292","35,047","42,885"
37810,"32,253","36,123","41,729"
37811,"30,045","33,650","42,097"
37813,"36,889","41,316","44,581"
37814,"40,219","45,046","54,492"
37818,"36,103","40,435","46,276"
37819,"24,375","27,300","39,677"
37820,"37,114","41,568","46,852"
37821,"27,577","30,887","40,364"
37825,"32,755","36,686","45,397"
37826,"46,147","51,685","56,404"
37828,"47,204","52,868","60,284"
37829,"42,149","47,207","48,857"
37830,"52,633","58,949","68,681"
37840,"41,748","46,757","52,064"
37841,"27,889","31,235","36,161"
37843,"38,546","43,171","46,442"
37845,"42,942","48,095","51,963"
37846,"38,001","42,561","51,527"
37847,"28,662","32,102","39,989"
37848,"29,995","33,594","40,688"
37849,"54,933","61,525","64,460"
37851,"19,770","22,142","26,401"
37852,"25,564","28,632","39,867"
37853,"48,989","54,868","55,901"
37854,"35,702","39,986","44,157"
37857,"31,472","35,248","42,596"
37860,"42,844","47,985","53,248"
37861,"27,726","31,053","39,981"
37862,"36,506","40,887","52,380"
37863,"34,638","38,795","50,655"
37865,"48,499","54,318","56,847"
37866,"32,778","36,711","50,263"
37869,"23,293","26,088","31,178"
37870,"30,947","34,661","41,783"
37871,"44,207","49,511","51,623"
37872,"32,003","35,843","47,505"
37873,"39,873","44,658","52,053"
37874,"35,910","40,219","45,673"
37876,"41,800","46,816","53,434"
37877,"45,862","51,365","54,443"
37878,"39,361","44,084","58,178"
37879,"27,625","30,940","35,730"
37880,"36,326","40,685","50,990"
37881,"29,225","32,732","40,337"
37882,"38,320","42,919","60,767"
37885,"39,373","44,098","56,866"
37886,"40,598","45,470","58,005"
37887,"40,342","45,183","45,455"
37888,"30,158","33,777","41,643"
37890,"35,365","39,609","48,617"
37891,"39,873","44,657","52,020"
37892,"24,982","27,980","33,928"
37902,"24,413","27,343","36,152"
37909,"45,751","51,241","59,240"
37912,"38,804","43,461","44,223"
37914,"40,307","45,143","47,576"
37915,"11,160","12,499","18,409"
37916,"7,530","8,434","13,347"
37917,"29,885","33,471","38,187"
37918,"45,616","51,090","54,600"
37919,"53,862","60,325","93,905"
37920,"39,910","44,699","50,775"
37921,"39,725","44,492","45,838"
37922,"98,617","110,451","123,431"
37923,"59,874","67,059","75,981"
37924,"41,765","46,777","55,825"
37931,"61,247","68,597","73,399"
37932,"71,391","79,958","83,801"
37934,"92,130","103,185","112,648"
37938,"62,775","70,308","73,354"
38001,"32,948","36,902","49,451"
38002,"82,575","92,484","94,330"
38004,"73,717","82,563","75,938"
38006,"42,290","47,364","58,697"
38007,"39,093","43,784","45,832"
38008,"32,679","36,601","41,620"
38011,"52,974","59,331","61,808"
38012,"33,602","37,634","43,505"
38015,"45,470","50,927","56,291"
38016,"66,808","74,825","79,038"
38017,"100,096","112,108","119,031"
38018,"74,853","83,836","94,234"
38019,"33,420","37,431","48,067"
38021,"39,375","44,100","45,956"
38023,"52,234","58,503","59,180"
38024,"33,753","37,804","48,159"
38028,"76,159","85,298","102,110"
38029,"88,986","99,664","93,741"
38030,"39,093","43,784","45,832"
38034,"36,603","40,995","43,212"
38036,"34,813","38,991","59,078"
38037,"31,582","35,371","41,032"
38039,"35,051","39,257","46,878"
38040,"36,675","41,076","47,078"
38041,"31,338","35,099","37,397"
38042,"30,007","33,608","39,482"
38044,"35,108","39,321","48,800"
38046,"45,643","51,120","71,644"
38047,"39,093","43,784","45,832"
38049,"35,495","39,755","61,341"
38050,"32,356","36,239","38,895"
38052,"37,148","41,605","50,482"
38053,"52,225","58,492","63,335"
38054,"46,765","52,377","56,594"
38057,"45,777","51,271","71,063"
38058,"56,888","63,715","61,240"
38059,"41,605","46,597","48,304"
38060,"64,717","72,483","73,135"
38061,"35,951","40,265","49,189"
38063,"32,673","36,593","44,849"
38066,"66,977","75,015","81,014"
38067,"30,773","34,465","39,960"
38068,"49,288","55,203","60,313"
38069,"33,820","37,878","42,836"
38070,"34,936","39,128","41,678"
38075,"30,772","34,464","47,205"
38076,"51,515","57,697","64,769"
38077,"25,288","28,323","37,617"
38079,"60,111","67,325","82,125"
38080,"26,273","29,426","37,486"
38103,"22,331","25,010","33,391"
38104,"38,826","43,485","58,031"
38105,"17,685","19,807","26,214"
38106,"21,040","23,565","29,479"
38107,"27,228","30,495","35,630"
38108,"25,208","28,233","32,456"
38109,"30,438","34,090","38,549"
38111,"38,821","43,480","53,661"
38112,"34,626","38,781","48,589"
38114,"26,137","29,273","35,578"
38115,"31,171","34,912","40,937"
38116,"38,980","43,657","48,933"
38117,"68,938","77,211","95,121"
38118,"33,514","37,536","40,286"
38119,"59,096","66,187","93,644"
38120,"46,009","51,530","69,497"
38122,"38,873","43,537","49,274"
38125,"66,852","74,874","76,132"
38126,"12,882","14,427","21,492"
38127,"27,637","30,954","35,373"
38128,"36,677","41,078","44,796"
38132,"46,795","52,410","64,869"
38133,"69,165","77,465","78,479"
38134,"45,757","51,248","54,059"
38135,"73,092","81,863","79,279"
38138,"90,435","101,287","120,841"
38139,"142,928","160,080","182,442"
38141,"48,731","54,578","54,578"
38152,"30,694","34,377","83,873"
38201,"38,983","43,661","48,851"
38220,"31,179","34,921","38,978"
38221,"32,363","36,247","41,503"
38222,"44,804","50,180","54,976"
38224,"42,397","47,484","49,568"
38225,"31,785","35,599","43,806"
38226,"38,750","43,400","44,879"
38229,"30,970","34,687","40,512"
38230,"29,061","32,548","42,177"
38231,"39,445","44,179","44,405"
38232,"43,651","48,889","47,995"
38233,"34,676","38,837","42,109"
38235,"30,685","34,367","38,033"
38236,"37,022","41,465","45,764"
38237,"31,932","35,764","47,832"
38240,"41,214","46,159","48,655"
38241,"32,185","36,047","39,089"
38242,"33,853","37,915","46,747"
38251,"40,858","45,761","52,066"
38253,"55,270","61,902","63,113"
38254,"43,651","48,889","47,995"
38255,"37,728","42,255","40,577"
38256,"41,224","46,170","51,113"
38257,"36,779","41,193","45,888"
38258,"30,685","34,367","38,033"
38259,"40,620","45,495","46,130"
38260,"41,506","46,487","49,960"
38261,"39,193","43,896","53,359"
38301,"27,599","30,911","36,663"
38305,"57,498","64,398","74,884"
38310,"34,454","38,589","49,659"
38311,"30,402","34,050","53,741"
38313,"47,698","53,421","53,169"
38315,"33,535","37,560","46,605"
38316,"39,081","43,771","52,866"
38317,"32,185","36,047","41,391"
38318,"33,495","37,515","42,623"
38320,"34,187","38,289","44,226"
38321,"36,670","41,071","45,550"
38326,"66,285","74,239","99,734"
38327,"33,033","36,997","48,728"
38328,"39,191","43,894","58,390"
38329,"31,070","34,799","47,273"
38330,"36,858","41,281","44,743"
38332,"38,076","42,645","46,226"
38333,"39,051","43,737","47,732"
38334,"37,994","42,553","43,543"
38337,910,"1,019","1,241"
38339,"36,839","41,260","45,920"
38340,"39,534","44,279","45,961"
38341,"34,504","38,645","42,646"
38342,"32,493","36,392","42,318"
38343,"36,101","40,433","53,028"
38344,"38,202","42,786","57,013"
38345,"45,086","50,496","52,647"
38347,"38,352","42,954","45,757"
38348,"36,955","41,390","43,709"
38351,"37,426","41,917","49,011"
38352,"40,223","45,050","47,650"
38355,"63,588","71,219","65,220"
38356,"37,961","42,517","50,070"
38357,"35,258","39,489","43,493"
38358,"36,625","41,021","48,299"
38359,"34,559","38,707","49,636"
38361,"33,078","37,047","48,768"
38362,"53,965","60,440","57,373"
38363,"28,639","32,076","41,437"
38365,"29,566","33,114","48,593"
38366,"45,141","50,558","51,501"
38367,"37,211","41,676","49,556"
38368,"40,816","45,714","49,707"
38369,"36,530","40,914","46,837"
38370,"33,033","36,997","48,728"
38371,"38,304","42,900","49,633"
38372,"31,348","35,110","40,413"
38374,"35,873","40,178","51,578"
38375,"32,204","36,068","45,450"
38376,"31,896","35,724","46,505"
38379,"34,104","38,197","42,358"
38380,"30,911","34,620","42,585"
38381,"35,101","39,313","48,834"
38382,"34,786","38,961","43,650"
38387,"36,818","41,236","45,979"
38388,"38,326","42,925","51,114"
38390,"36,855","41,277","46,318"
38391,"37,670","42,190","47,549"
38392,"37,615","42,128","49,319"
38401,"46,513","52,095","57,435"
38425,"35,212","39,437","40,693"
38449,"40,360","45,203","50,630"
38450,"37,401","41,889","42,527"
38451,"53,452","59,866","71,677"
38452,"38,112","42,685","44,189"
38453,"43,598","48,830","67,175"
38454,"33,956","38,031","41,607"
38455,"36,296","40,652","47,490"
38456,"35,239","39,468","39,071"
38457,"43,343","48,544","53,485"
38459,"43,477","48,695","67,606"
38460,"34,969","39,165","49,811"
38461,"46,743","52,352","51,008"
38462,"33,710","37,755","44,941"
38463,"35,741","40,030","42,367"
38464,"33,623","37,658","45,908"
38468,"36,720","41,126","45,562"
38469,"42,838","47,979","51,527"
38471,"38,320","42,918","44,675"
38472,"1,432","1,604","1,991"
38473,"35,172","39,393","50,519"
38474,"36,954","41,389","43,410"
38475,"28,362","31,765","39,252"
38476,"56,679","63,481","80,250"
38477,"44,274","49,587","57,146"
38478,"35,973","40,290","46,460"
38481,"31,578","35,368","40,489"
38482,"44,025","49,308","53,098"
38483,"36,953","41,387","46,347"
38485,"32,201","36,065","39,661"
38486,"32,615","36,529","42,338"
38487,"45,531","50,995","51,729"
38488,"45,646","51,123","53,649"
38501,"33,970","38,046","47,095"
38504,"39,340","44,060","50,763"
38505,"18,257","20,448","26,291"
38506,"40,371","45,215","52,235"
38541,"33,750","37,801","41,470"
38542,"30,213","33,838","38,365"
38543,"33,914","37,984","43,115"
38544,"33,660","37,700","45,543"
38545,"33,565","37,593","42,970"
38547,"47,289","52,963","58,267"
38548,"38,825","43,485","51,836"
38549,"30,165","33,784","44,842"
38551,"32,013","35,855","42,709"
38552,"39,209","43,914","55,670"
38553,"32,012","35,853","36,203"
38554,"30,006","33,606","38,162"
38555,"36,247","40,597","47,750"
38556,"29,239","32,748","42,415"
38558,"45,071","50,480","61,595"
38559,"34,673","38,834","43,419"
38560,"39,209","43,914","55,670"
38562,"33,466","37,482","40,982"
38563,"46,410","51,979","56,596"
38564,"28,979","32,457","37,624"
38565,"32,385","36,272","36,914"
38567,"47,195","52,858","58,927"
38568,"29,288","32,803","37,889"
38569,"42,517","47,618","54,219"
38570,"37,669","42,189","48,293"
38571,"36,847","41,269","44,237"
38572,"35,919","40,229","44,462"
38573,"33,259","37,250","42,261"
38574,"29,806","33,383","39,009"
38575,"32,272","36,145","36,491"
38577,"29,227","32,734","42,718"
38578,"29,032","32,516","39,225"
38579,"37,607","42,120","45,745"
38580,"33,634","37,670","44,277"
38581,"34,141","38,238","44,147"
38582,"37,219","41,686","50,646"
38583,"33,673","37,714","44,146"
38585,"26,698","29,902","40,814"
38587,"33,611","37,644","43,394"
38588,"32,527","36,431","39,430"
38589,"33,716","37,762","40,392"
38601,"35,250","39,480","48,490"
38603,"27,194","30,457","34,333"
38606,"35,188","39,411","44,444"
38610,"31,127","34,862","37,146"
38611,"43,467","48,684","53,010"
38614,"26,264","29,415","40,358"
38617,"21,472","24,049","35,998"
38618,"41,222","46,169","51,136"
38619,"31,338","35,099","41,092"
38620,"38,860","43,524","46,159"
38621,"27,765","31,096","37,006"
38622,"28,559","31,986","37,373"
38623,"23,333","26,133","29,661"
38625,"23,052","25,818","27,505"
38626,"32,411","36,300","42,209"
38627,"38,254","42,844","45,491"
38629,"30,972","34,688","41,833"
38630,"41,813","46,831","82,465"
38631,"21,472","24,049","35,998"
38632,"59,810","66,987","70,736"
38633,"39,671","44,431","47,340"
38635,"30,730","34,418","40,188"
38637,"47,219","52,885","54,999"
38639,"21,471","24,048","36,019"
38641,"48,627","54,462","61,640"
38642,"36,913","41,342","44,728"
38643,"22,136","24,793","31,457"
38644,"21,472","24,049","35,998"
38645,"21,203","23,748","45,170"
38646,"28,119","31,494","36,753"
38647,"26,708","29,913","33,859"
38650,"39,335","44,055","49,454"
38651,"68,657","76,896","78,873"
38652,"27,124","30,379","36,789"
38654,"70,500","78,960","76,381"
38655,"39,509","44,250","57,551"
38658,"39,581","44,331","45,885"
38659,"31,390","35,156","48,762"
38661,"46,613","52,206","53,667"
38663,"31,304","35,060","39,562"
38664,"35,171","39,392","43,776"
38665,"37,395","41,883","44,212"
38666,"31,041","34,766","39,282"
38668,"40,649","45,527","50,631"
38670,"23,964","26,840","30,413"
38671,"48,554","54,381","54,423"
38672,"77,836","87,177","85,062"
38673,"33,923","37,994","47,461"
38674,"32,714","36,640","46,181"
38676,"27,520","30,822","40,380"
38677,"14,667","16,427","29,867"
38680,"57,683","64,605","67,582"
38683,"34,889","39,076","47,732"
38685,"30,549","34,215","48,679"
38701,"31,240","34,989","42,610"
38703,"26,011","29,132","36,480"
38704,"21,360","23,923","33,698"
38720,"29,625","33,180","55,955"
38721,"31,159","34,898","38,609"
38722,"34,148","38,246","48,315"
38723,"33,370","37,374","44,795"
38725,"20,129","22,544","31,816"
38726,"18,526","20,749","28,677"
38730,"38,037","42,602","54,283"
38731,"33,370","37,374","44,795"
38732,"36,507","40,888","49,406"
38736,"22,080","24,730","33,304"
38737,"26,609","29,803","34,456"
38738,"26,613","29,807","34,476"
38740,"16,864","18,888","28,197"
38744,"30,184","33,806","41,851"
38745,"21,360","23,923","33,698"
38746,"17,118","19,173","28,095"
38748,"24,927","27,919","36,153"
38749,"28,073","31,442","44,825"
38751,"26,144","29,281","37,097"
38753,"28,733","32,181","44,175"
38754,"25,091","28,102","35,360"
38756,"25,489","28,547","40,492"
38759,"26,603","29,795","37,269"
38760,"25,000","28,000","38,182"
38761,"21,102","23,634","31,619"
38762,"23,032","25,796","33,111"
38764,"17,829","19,968","27,313"
38765,"31,159","34,898","38,609"
38767,"41,813","46,831","82,465"
38768,"26,613","29,807","34,476"
38769,"54,971","61,568","72,604"
38771,"24,165","27,064","36,360"
38772,"20,129","22,544","31,816"
38773,"22,305","24,982","34,555"
38774,"16,917","18,947","28,239"
38778,"24,035","26,919","41,337"
38781,"23,019","25,781","33,106"
38801,"36,785","41,199","53,996"
38804,"41,740","46,749","60,078"
38821,"35,691","39,974","46,696"
38824,"31,058","34,785","39,261"
38826,"56,916","63,746","84,126"
38827,"29,222","32,729","39,468"
38828,"35,544","39,809","43,929"
38829,"32,514","36,415","43,506"
38833,"32,810","36,747","44,684"
38834,"32,582","36,491","43,891"
38838,"29,222","32,729","39,468"
38841,"44,226","49,533","49,321"
38843,"35,741","40,030","47,638"
38844,"31,261","35,012","47,229"
38846,"35,080","39,290","45,338"
38847,"34,629","38,784","46,163"
38848,"39,102","43,794","48,278"
38849,"39,972","44,769","46,401"
38850,"31,678","35,479","38,037"
38851,"31,793","35,608","43,419"
38852,"64,195","71,898","88,019"
38855,"39,871","44,656","46,771"
38856,"37,265","41,737","43,918"
38857,"38,150","42,728","51,163"
38858,"38,967","43,643","49,491"
38859,"35,091","39,302","41,579"
38860,"28,256","31,647","38,150"
38862,"35,975","40,292","43,626"
38863,"37,236","41,704","47,773"
38864,"29,523","33,066","46,334"
38865,"43,285","48,480","47,086"
38866,"49,214","55,119","61,568"
38868,"36,623","41,018","44,567"
38869,"40,434","45,286","51,519"
38870,"47,414","53,104","50,393"
38871,"40,053","44,859","46,475"
38873,"29,889","33,475","39,921"
38876,"47,000","52,640","57,374"
38878,"27,374","30,659","34,676"
38879,"24,388","27,315","36,089"
38901,"32,592","36,503","45,764"
38913,"35,848","40,150","41,334"
38914,"38,390","42,997","45,026"
38915,"27,981","31,339","35,195"
38916,"27,661","30,981","36,813"
38917,"31,116","34,849","46,463"
38920,"28,952","32,426","35,073"
38921,"25,536","28,601","33,850"
38922,"30,848","34,550","42,562"
38923,"22,500","25,200","36,461"
38924,"18,632","20,868","27,327"
38925,"35,654","39,932","43,681"
38927,"35,417","39,667","42,388"
38928,"26,179","29,320","32,007"
38929,"35,607","39,880","47,041"
38930,"24,061","26,949","35,787"
38940,"35,186","39,408","52,017"
38941,"21,433","24,005","29,200"
38943,"29,796","33,372","44,931"
38945,"14,595","16,346","26,564"
38946,"21,486","24,064","29,261"
38947,"32,188","36,051","47,708"
38948,"30,631","34,307","39,286"
38949,"47,982","53,740","65,404"
38950,"26,179","29,320","32,007"
38951,"36,625","41,020","42,587"
38952,"1,917","2,147","3,129"
38953,"32,225","36,092","42,244"
38954,"20,157","22,576","29,887"
38957,"22,407","25,096","32,576"
38958,"21,486","24,064","29,261"
38961,"31,053","34,780","39,524"
38962,"31,317","35,075","37,688"
38963,"22,365","25,049","33,922"
38964,"22,218","24,884","31,847"
38965,"33,202","37,186","44,867"
38966,"23,524","26,347","32,408"
38967,"30,685","34,367","39,814"
39038,"24,226","27,133","35,463"
39039,"32,523","36,426","46,496"
39040,"41,027","45,950","52,839"
39041,"38,654","43,293","59,285"
39042,"62,237","69,706","72,371"
39044,"43,803","49,060","51,522"
39045,"22,335","25,015","34,224"
39046,"37,944","42,497","47,715"
39047,"68,928","77,200","84,388"
39051,"34,072","38,161","43,381"
39054,"31,159","34,898","38,609"
39056,"51,947","58,181","65,919"
39057,"31,117","34,851","42,595"
39059,"35,833","40,133","44,639"
39061,"31,159","34,898","38,609"
39062,"33,185","37,167","48,244"
39063,"24,275","27,188","36,438"
39066,"33,316","37,314","46,229"
39067,"32,411","36,301","48,573"
39069,"22,752","25,483","32,023"
39071,"48,486","54,305","73,838"
39073,"45,994","51,513","60,148"
39074,"34,290","38,405","47,797"
39078,"39,628","44,383","48,602"
39079,"21,913","24,543","31,104"
39082,"42,321","47,400","49,529"
39083,"34,868","39,052","45,984"
39086,"28,574","32,003","36,788"
39088,"40,842","45,743","51,713"
39090,"29,240","32,748","43,490"
39092,"30,684","34,366","44,466"
39094,"33,983","38,061","42,878"
39095,"21,451","24,025","32,517"
39096,"21,524","24,106","31,952"
39097,"27,246","30,516","41,031"
39108,"29,992","33,591","45,850"
39110,"89,947","100,740","109,651"
39111,"32,463","36,359","46,796"
39113,"21,360","23,923","33,698"
39114,"39,000","43,680","50,650"
39115,"27,246","30,516","41,031"
39116,"35,401","39,649","46,430"
39117,"41,448","46,422","47,304"
39119,"31,849","35,671","46,623"
39120,"27,832","31,172","42,043"
39140,"30,146","33,764","41,769"
39144,"20,712","23,197","32,145"
39145,"58,393","65,400","70,504"
39146,"21,787","24,402","31,650"
39149,"40,165","44,985","50,921"
39150,"23,958","26,832","33,625"
39152,"37,957","42,512","49,684"
39153,"37,460","41,956","48,979"
39154,"49,028","54,911","64,289"
39156,"44,453","49,787","61,891"
39157,"65,648","73,526","83,912"
39159,"27,212","30,477","36,820"
39160,"22,550","25,256","36,543"
39162,"46,466","52,042","59,324"
39166,"27,246","30,516","41,031"
39167,"42,500","47,600","57,134"
39168,"38,361","42,964","51,631"
39169,"17,601","19,713","24,040"
39170,"56,300","63,056","69,702"
39174,"41,317","46,275","49,256"
39175,"35,383","39,629","48,564"
39176,"23,813","26,670","37,743"
39177,"21,360","23,923","33,698"
39179,"28,033","31,397","43,604"
39180,"41,363","46,327","53,703"
39183,"40,037","44,841","55,730"
39189,"29,881","33,466","42,124"
39191,"41,603","46,596","55,728"
39192,"28,402","31,811","41,298"
39193,"32,250","36,120","45,094"
39194,"26,788","30,003","38,271"
39201,"16,235","18,183","30,247"
39202,"38,695","43,338","53,565"
39203,"22,355","25,037","29,695"
39204,"27,757","31,088","35,587"
39206,"38,257","42,848","47,276"
39208,"42,770","47,902","56,551"
39209,"29,673","33,234","37,600"
39211,"66,931","74,963","95,355"
39212,"40,140","44,957","47,048"
39213,"26,051","29,178","36,207"
39216,"41,567","46,555","81,015"
39217,"17,252","19,322","22,182"
39218,"40,392","45,239","54,805"
39232,"52,764","59,095","67,047"
39272,"53,031","59,395","63,663"
39301,"28,324","31,723","43,235"
39305,"45,792","51,287","64,936"
39307,"27,509","30,810","38,278"
39309,"50,810","56,907","69,428"
39320,"48,067","53,835","58,745"
39322,"40,358","45,202","46,327"
39323,"43,896","49,164","49,093"
39325,"47,685","53,407","58,739"
39326,"37,762","42,294","50,715"
39327,"33,962","38,038","43,827"
39328,"14,522","16,265","19,161"
39330,"28,762","32,213","36,920"
39332,"42,215","47,281","44,219"
39335,"33,446","37,460","48,701"
39336,"38,713","43,359","44,223"
39337,"43,535","48,760","51,474"
39338,"9,877","11,062","13,028"
39339,"31,166","34,906","43,199"
39341,"23,426","26,237","33,859"
39342,"44,105","49,397","61,745"
39345,"32,538","36,443","38,615"
39346,"27,612","30,925","39,978"
39347,"15,124","16,939","22,527"
39348,"18,868","21,132","28,062"
39350,"33,760","37,811","47,513"
39354,"29,277","32,790","39,091"
39355,"32,266","36,138","43,229"
39358,33,37,54
39359,"26,608","29,801","43,083"
39360,"28,311","31,709","40,312"
39361,"22,677","25,398","33,783"
39362,"43,843","49,104","46,138"
39363,"29,328","32,847","36,477"
39364,"31,015","34,737","47,732"
39365,"34,465","38,601","45,273"
39366,"24,984","27,982","37,346"
39367,"30,208","33,833","42,289"
39401,"27,649","30,967","38,826"
39402,"56,189","62,931","75,568"
39406,"17,313","19,391","24,438"
39421,"34,766","38,938","38,041"
39422,"29,875","33,460","46,927"
39423,"36,612","41,006","40,807"
39425,"37,167","41,627","44,126"
39426,"48,387","54,193","61,197"
39427,"21,422","23,993","33,243"
39428,"29,767","33,339","41,963"
39429,"33,942","38,016","49,110"
39437,"38,274","42,867","48,823"
39439,"27,266","30,538","39,389"
39440,"29,516","33,057","46,304"
39443,"39,215","43,921","50,239"
39451,"41,175","46,116","45,492"
39452,"45,924","51,435","54,322"
39455,"33,122","37,097","44,963"
39456,"40,132","44,947","46,405"
39459,"38,725","43,372","44,272"
39461,"41,190","46,133","45,463"
39462,"36,022","40,345","40,194"
39464,"34,619","38,773","44,595"
39465,"50,228","56,255","58,261"
39466,"37,732","42,260","48,278"
39470,"36,527","40,910","50,793"
39474,"26,447","29,620","36,979"
39475,"47,988","53,747","58,232"
39476,"43,232","48,420","49,397"
39477,"35,737","40,025","46,604"
39478,"29,265","32,777","42,564"
39479,"40,909","45,818","52,143"
39480,"45,352","50,795","57,204"
39481,"31,731","35,539","45,157"
39482,"49,375","55,299","58,878"
39483,"27,302","30,578","39,861"
39501,"28,535","31,959","36,842"
39503,"47,514","53,216","60,762"
39507,"46,749","52,358","62,847"
39520,"37,828","42,367","52,838"
39525,"63,914","71,584","73,057"
39530,"31,289","35,044","45,389"
39531,"42,486","47,584","56,834"
39532,"55,754","62,445","68,372"
39534,"42,321","47,400","52,682"
39540,"40,618","45,492","50,188"
39553,"43,870","49,134","54,648"
39556,"46,065","51,593","54,442"
39560,"50,265","56,297","61,468"
39561,"47,968","53,725","60,795"
39562,"49,368","55,292","54,731"
39563,"35,398","39,645","45,617"
39564,"61,648","69,046","80,684"
39565,"50,846","56,948","58,269"
39567,"37,100","41,552","52,650"
39571,"49,372","55,297","68,952"
39572,"37,662","42,181","40,928"
39573,"46,651","52,250","62,031"
39574,"49,592","55,543","55,760"
39576,"33,669","37,709","51,533"
39577,"41,743","46,753","55,419"
39581,"42,381","47,466","55,801"
39601,"36,836","41,256","53,667"
39629,"40,000","44,799","49,974"
39630,"34,574","38,723","63,186"
39631,"26,684","29,886","37,234"
39633,"27,477","30,775","34,839"
39635,"26,278","29,431","41,975"
39638,"27,520","30,823","36,122"
39641,"37,351","41,833","48,222"
39643,"28,150","31,528","39,081"
39645,"26,808","30,025","41,101"
39647,"34,613","38,766","62,715"
39648,"28,673","32,114","41,202"
39652,"27,810","31,147","43,584"
39653,"33,729","37,777","59,543"
39654,"39,413","44,143","51,279"
39656,"23,954","26,829","35,846"
39657,"31,944","35,777","46,369"
39661,"29,853","33,435","44,247"
39662,"45,633","51,109","57,960"
