Zip,Median,Median_adjusted,Mean,Pop
29525,"26,098","29,230","32,824","2,029"
29526,"43,915","49,185","56,376","39,033"
29527,"37,088","41,539","46,597","22,027"
29530,"39,274","43,987","46,802","2,915"
29532,"35,800","40,096","46,322","20,871"
29536,"28,252","31,642","39,481","17,722"
29540,"23,919","26,790","31,242","3,476"
29541,"44,228","49,536","55,742","9,465"
29543,"25,976","29,094","41,389",606
29544,"42,053","47,099","47,878","4,909"
29545,"26,581","29,770","37,740","1,657"
29546,"35,559","39,826","52,769","2,834"
29547,"35,657","39,936","40,383","2,917"
29550,"40,984","45,902","54,308","32,132"
29554,"30,041","33,646","41,898","9,332"
29555,"34,095","38,186","43,601","6,440"
29556,"25,267","28,299","35,053","12,870"
29560,"31,907","35,736","40,619","13,664"
29563,"25,933","29,045","41,489","2,676"
29564,"22,279","24,952","31,493",985
29565,"29,729","33,296","37,288","7,127"
29566,"45,814","51,312","57,726","15,179"
29567,"34,286","38,400","36,289",564
29568,"39,657","44,416","52,283","12,224"
29569,"32,658","36,577","43,032","15,951"
29570,"29,636","33,192","35,849","3,913"
29571,"30,136","33,752","42,642","15,622"
29572,"49,331","55,251","86,393","7,893"
29574,"30,502","34,162","40,952","11,909"
29575,"43,927","49,198","56,932","15,512"
29576,"50,892","56,999","69,259","24,446"
29577,"37,933","42,485","55,681","26,934"
29579,"52,883","59,229","63,297","32,180"
29580,"24,295","27,211","37,615","1,450"
29581,"29,438","32,971","40,809","4,650"
29582,"50,542","56,607","72,626","14,622"
29583,"36,762","41,174","45,585","5,438"
29584,"36,018","40,340","45,775","2,563"
29585,"61,548","68,933","81,658","13,606"
29588,"44,133","49,429","55,325","36,499"
29590,"15,549","17,415","22,212","2,437"
29591,"32,843","36,784","39,908","5,467"
29592,"28,503","31,924","36,222","1,197"
29593,"10,570","11,839","13,296",613
29594,"29,699","33,263","35,903",121
29596,"33,084","37,054","38,103","2,424"
29601,"34,024","38,107","50,723","8,840"
29605,"40,241","45,070","60,435","34,414"
29607,"54,934","61,526","71,741","34,422"
29609,"42,953","48,108","55,515","27,232"
29611,"29,971","33,568","38,572","28,799"
29613,"56,197","62,941","65,544","2,334"
29614,"60,510","67,771","62,241","2,720"
29615,"53,729","60,177","74,927","35,151"
29617,"36,057","40,384","44,089","25,685"
29620,"31,539","35,324","40,122","12,907"
29621,"50,340","56,381","64,379","39,101"
29624,"23,796","26,651","31,534","14,610"
29625,"42,465","47,561","55,984","27,538"
29626,"39,685","44,448","53,003","12,364"
29627,"41,307","46,263","50,902","18,367"
29628,"32,172","36,033","39,273","2,723"
29630,"38,473","43,090","48,723","14,186"
29631,"37,452","41,946","56,877","13,318"
29634,"12,159","13,618","51,444","5,589"
29635,"46,289","51,844","69,100","1,254"
29638,"35,959","40,274","47,023","2,944"
29639,"37,963","42,518","51,110","1,742"
29640,"43,541","48,766","50,493","30,574"
29642,"57,561","64,469","68,745","29,561"
29643,"41,636","46,632","56,962","2,756"
29644,"47,449","53,143","56,949","18,578"
29645,"45,448","50,902","54,019","9,982"
29646,"35,297","39,532","51,748","28,159"
29649,"46,787","52,401","60,035","26,235"
29650,"66,117","74,051","82,419","32,632"
29651,"52,597","58,908","64,119","42,844"
29653,"43,142","48,319","51,611","4,811"
29654,"36,386","40,753","47,496","9,937"
29655,"30,472","34,128","43,169","7,796"
29657,"42,451","47,545","51,571","15,116"
29658,"36,250","40,600","46,505",333
29659,"35,069","39,277","40,102",118
29661,"46,816","52,434","50,681","5,648"
29662,"54,145","60,642","62,564","15,090"
29664,"36,250","40,600","46,505","1,808"
29665,"65,858","73,761","79,184",127
29666,"41,270","46,222","52,451","6,570"
29667,"45,000","50,400","52,215",269
29669,"41,581","46,571","54,143","12,387"
29670,"45,239","50,667","57,953","8,673"
29671,"42,340","47,421","52,703","18,030"
29672,"56,477","63,254","69,364","11,868"
29673,"44,522","49,865","56,258","25,348"
29676,"52,943","59,296","72,228","5,201"
29678,"37,418","41,909","54,192","21,676"
29680,"63,292","70,887","72,678","27,285"
29681,"77,901","87,249","90,806","46,979"
29682,"51,281","57,435","60,061","3,818"
29683,"47,616","53,330","46,024",291
29684,"35,825","40,124","42,286","4,862"
29685,"47,691","53,414","61,445","1,230"
29686,"48,140","53,917","63,823","1,027"
29687,"49,134","55,030","61,003","39,561"
29689,"42,563","47,671","54,399","3,889"
29690,"41,910","46,939","59,297","20,914"
29691,"41,446","46,420","51,938","11,333"
29692,"38,777","43,431","47,170","4,856"
29693,"40,141","44,958","54,831","14,215"
29696,"50,652","56,731","56,361","4,125"
29697,"47,273","52,946","54,475","12,207"
29702,"31,866","35,690","42,514","10,059"
29704,"43,049","48,215","59,277","3,721"
29706,"32,832","36,772","42,849","19,847"
29707,"58,692","65,735","66,628","17,742"
29708,"88,158","98,737","95,508","25,035"
29709,"36,683","41,085","44,136","6,498"
29710,"54,594","61,145","69,072","29,449"
29712,"44,580","49,930","56,330","2,317"
29714,"42,362","47,446","54,888","2,927"
29715,"66,316","74,273","77,933","24,823"
29717,"45,126","50,541","48,554","1,251"
29718,"32,971","36,928","40,232","3,856"
29720,"37,290","41,765","44,530","46,041"
29724,"41,250","46,200","53,568",43
29726,"45,267","50,699","50,418","1,750"
29727,"30,639","34,315","40,522","1,650"
29728,"29,890","33,477","42,600","10,301"
29729,"39,835","44,616","52,124","2,271"
29730,"41,113","46,046","50,791","52,354"
29732,"51,684","57,886","62,610","48,487"
29741,"32,492","36,391","42,107","2,082"
29742,"43,179","48,360","48,028","2,460"
29743,"45,227","50,655","48,886","1,071"
29745,"47,180","52,842","59,031","28,919"
29801,"36,804","41,220","50,332","26,778"
29803,"62,401","69,890","78,840","36,843"
29805,"36,812","41,229","54,421","5,864"
29809,"47,213","52,878","63,933","2,206"
29810,"2,573","2,882","3,329",374
29812,"36,606","40,999","47,900","11,854"
29816,"39,304","44,020","44,530","1,033"
29817,"28,898","32,366","37,098","4,913"
29819,"40,635","45,512","50,006","1,523"
29821,"55,915","62,624","75,976","1,487"
29824,"32,487","36,386","45,232","8,535"
29826,"34,292","38,407","44,964",164
29827,"24,249","27,159","39,302","4,526"
29828,"34,544","38,689","40,824","1,003"
29829,"36,320","40,679","47,370","8,651"
29831,"38,756","43,406","49,512","4,146"
29832,"33,617","37,651","45,318","5,335"
29834,"38,609","43,242","43,814","1,687"
29835,"20,037","22,442","27,016","4,702"
29836,"4,183","4,685","5,845",55
29838,"41,640","46,637","56,833",501
29841,"47,812","53,549","57,825","32,494"
29842,"43,153","48,332","51,001","7,675"
29843,"35,774","40,067","46,765","1,291"
29844,"44,524","49,867","75,554",123
29845,"41,132","46,068","67,857","1,104"
29847,"51,393","57,560","55,760","5,480"
29848,"32,487","36,385","41,390",573
29849,"35,177","39,398","45,049",294
29850,"39,539","44,284","46,834",111
29851,"36,766","41,178","44,001","7,524"
29853,"34,842","39,024","45,435","6,580"
29856,"37,798","42,334","48,105","3,255"
29860,"62,127","69,582","72,217","14,450"
29899,"26,646","29,844","36,620","1,244"
29902,"48,152","53,930","63,664","14,779"
29904,"41,635","46,631","45,956",659
29905,"51,351","57,513","65,414","3,054"
29906,"44,624","49,979","56,289","21,765"
29907,"72,293","80,968","82,727","12,570"
29909,"61,064","68,392","85,416","16,394"
29910,"57,032","63,876","77,371","33,954"
29911,"39,305","44,021","53,176","1,725"
29912,"38,627","43,262","49,651",42
29915,"50,707","56,792","123,866",416
29916,"37,241","41,710","47,479","1,533"
29918,"36,411","40,781","44,265","5,278"
29920,"42,152","47,210","55,401","9,481"
29921,"25,500","28,560","32,815",227
29922,"29,653","33,211","39,761","1,214"
29923,"37,771","42,304","45,692",392
29924,"36,251","40,601","44,858","4,331"
29926,"66,365","74,329","96,049","23,742"
29927,"42,204","47,269","51,482","8,237"
29928,"70,609","79,082","102,711","16,110"
29929,"33,798","37,854","53,325","1,135"
29932,"33,263","37,254","43,763",269
29934,"35,735","40,024","51,676","1,172"
29935,"40,835","45,735","48,628","3,685"
29936,"37,551","42,057","47,884","13,354"
29939,"25,500","28,560","32,815",302
29940,"11,805","13,222","14,336","1,401"
29943,"36,690","41,093","53,435",477
29944,"35,047","39,253","41,055","5,118"
29945,"25,793","28,888","31,971","3,635"
30002,"40,815","45,713","54,175","5,861"
30004,"113,142","126,718","134,286","53,033"
30005,"106,759","119,570","131,963","34,442"
30008,"46,541","52,126","56,436","29,822"
30009,"80,278","89,912","95,728","13,722"
30011,"61,153","68,492","71,218","14,402"
30012,"44,773","50,146","57,276","27,258"
30013,"61,040","68,364","70,547","25,183"
30014,"49,250","55,160","61,617","35,037"
30016,"52,216","58,482","57,032","51,140"
30017,"73,973","82,849","82,664","20,160"
30019,"78,415","87,825","88,805","40,447"
30021,"33,232","37,220","40,660","21,989"
30022,"105,468","118,124","133,714","64,359"
30024,"101,308","113,465","117,200","64,614"
30025,"51,907","58,136","64,567","9,270"
30028,"68,738","76,986","78,959","22,182"
30030,"71,913","80,543","86,991","26,473"
30032,"33,722","37,769","42,571","43,994"
30033,"55,020","61,622","74,711","30,763"
30034,"49,519","55,461","57,030","43,113"
30035,"43,254","48,445","48,887","20,396"
30038,"51,268","57,420","60,159","37,233"
30039,"67,510","75,612","76,762","41,517"
30040,"84,921","95,111","100,355","54,653"
30041,"90,473","101,330","108,578","52,749"
30043,"70,768","79,260","84,765","80,241"
30044,"57,915","64,865","67,580","79,701"
30045,"66,761","74,772","74,945","34,402"
30046,"55,818","62,516","66,253","34,523"
30047,"68,366","76,570","80,842","59,660"
30052,"64,521","72,264","72,775","59,451"
30054,"57,537","64,441","75,106","11,985"
30055,"50,550","56,616","64,853","3,018"
30056,"50,251","56,281","65,374","2,500"
30058,"50,396","56,444","57,786","52,945"
30060,"41,168","46,108","54,076","34,562"
30062,"91,856","102,878","107,138","62,136"
30064,"77,525","86,828","94,766","46,076"
30066,"81,003","90,723","94,615","52,936"
30067,"64,651","72,409","86,512","45,182"
30068,"102,063","114,310","127,226","31,595"
30070,"39,558","44,305","47,649",342
30071,"50,949","57,063","63,926","23,005"
30072,"34,511","38,652","42,190",730
30075,"103,387","115,793","126,505","52,573"
30076,"70,929","79,440","88,231","42,678"
30078,"72,001","80,642","87,022","33,057"
30079,"31,087","34,817","44,750","2,960"
30080,"58,983","66,061","75,777","49,905"
30082,"64,708","72,473","80,545","25,905"
30083,"37,238","41,707","43,757","43,791"
30084,"56,903","63,731","70,059","35,921"
30087,"68,550","76,776","82,767","36,761"
30088,"51,921","58,152","61,097","25,248"
30092,"81,058","90,785","99,692","31,704"
30093,"40,737","45,625","50,036","53,351"
30094,"62,427","69,919","73,455","31,244"
30096,"54,447","60,981","65,901","62,265"
30097,"98,967","110,843","126,898","41,715"
30101,"81,571","91,359","93,530","54,373"
30102,"61,172","68,513","71,496","37,470"
30103,"43,171","48,351","54,504","14,781"
30104,"48,743","54,592","51,626","4,708"
30105,"49,869","55,853","60,686","2,294"
30106,"51,021","57,143","62,556","20,300"
30107,"61,799","69,215","76,003","12,908"
30108,"44,129","49,425","51,333","7,256"
30110,"39,832","44,612","49,465","13,349"
30113,"37,006","41,446","52,013","6,218"
30114,"63,965","71,641","81,884","49,774"
30115,"74,417","83,347","89,932","35,672"
30116,"43,941","49,214","59,187","23,156"
30117,"39,928","44,719","52,329","34,296"
30118,"35,810","40,107","47,579","2,373"
30120,"49,431","55,363","63,893","38,085"
30121,"43,156","48,335","54,643","22,078"
30122,"50,403","56,451","60,276","21,561"
30124,"44,343","49,664","55,173","2,978"
30125,"36,787","41,201","47,105","24,352"
30126,"67,116","75,170","83,535","37,088"
30127,"71,587","80,177","81,925","60,347"
30132,"64,688","72,451","71,688","34,215"
30134,"51,405","57,573","60,698","43,356"
30135,"67,608","75,721","78,265","61,912"
30137,"52,790","59,125","61,744","1,650"
30139,"43,073","48,242","49,882","3,655"
30141,"61,054","68,381","67,297","22,457"
30143,"52,948","59,302","66,709","21,145"
30144,"65,169","72,989","75,295","52,252"
30145,"56,246","62,996","66,133","8,378"
30147,"44,715","50,081","55,262","4,365"
30148,"56,472","63,249","75,307",453
30149,"53,500","59,920","62,002","1,569"
30152,"84,167","94,267","109,420","40,393"
30153,"44,592","49,943","52,720","18,411"
30157,"59,206","66,310","63,830","45,123"
30161,"38,620","43,254","51,499","35,058"
30164,"50,548","56,614","54,781",16
30165,"78,860","88,324","105,555","39,975"
30168,"42,277","47,351","49,031","24,241"
30170,"46,494","52,073","53,853","2,994"
30171,"56,548","63,334","66,605","3,491"
30173,"52,858","59,201","60,552","6,221"
30175,"44,594","49,945","54,398","6,074"
30176,"37,258","41,729","49,619","7,050"
30177,"47,620","53,334","61,221","1,049"
30178,"62,311","69,788","69,251","3,468"
30179,"50,336","56,377","55,537","16,807"
30180,"55,168","61,788","63,724","34,274"
30182,"41,563","46,550","52,809","2,666"
30183,"54,789","61,363","69,304","5,282"
30184,"59,372","66,496","70,152","6,847"
30185,"53,237","59,625","64,279","3,892"
30187,"68,778","77,031","79,270","8,740"
30188,"71,100","79,632","82,082","52,380"
30189,"77,757","87,088","91,962","36,859"
30204,"35,125","39,340","45,076","13,493"
30205,"60,015","67,217","78,208","3,061"
30206,"48,987","54,865","54,386","2,958"
30213,"58,162","65,141","66,472","29,384"
30214,"73,168","81,948","88,987","28,913"
30215,"82,019","91,862","92,510","33,665"
30216,"55,204","61,828","59,237","2,159"
30217,"41,273","46,225","48,729","9,433"
30218,"45,771","51,264","52,841","1,974"
30220,"51,954","58,189","60,937","5,533"
30222,"38,023","42,586","49,132","4,042"
30223,"38,683","43,325","46,317","36,769"
30224,"47,382","53,067","58,148","25,197"
30228,"61,756","69,166","69,417","38,569"
30230,"39,521","44,264","46,820","9,103"
30233,"50,722","56,808","59,192","23,218"
30234,"60,422","67,673","65,676","1,934"
30236,"49,028","54,912","58,578","46,434"
30238,"47,137","52,793","52,682","34,713"
30240,"48,715","54,561","59,860","30,014"
30241,"37,889","42,436","45,944","23,176"
30248,"66,520","74,503","74,577","23,249"
30250,"44,949","50,343","50,872",679
30251,"45,804","51,300","52,857","2,342"
30252,"74,974","83,970","83,106","41,428"
30253,"61,629","69,025","71,695","49,380"
30256,"55,159","61,778","60,007","2,826"
30257,"47,451","53,145","53,706","4,138"
30258,"47,292","52,967","53,818","2,622"
30259,"50,197","56,221","60,615","3,041"
30260,"43,644","48,881","52,476","23,244"
30263,"51,498","57,678","64,167","53,008"
30265,"71,162","79,702","80,316","31,713"
30268,"55,988","62,706","67,401","9,090"
30269,"93,642","104,879","108,114","35,069"
30273,"54,342","60,864","65,147","14,709"
30274,"39,921","44,711","47,830","31,893"
30275,"61,040","68,365","66,653",19
30276,"66,428","74,400","71,049","13,866"
30277,"75,308","84,345","82,214","20,270"
30281,"60,375","67,620","69,171","66,140"
30284,"48,382","54,188","59,052",55
30285,"44,193","49,496","52,998",707
30286,"33,598","37,630","41,580","23,490"
30288,"46,214","51,760","51,294","8,929"
30289,"62,081","69,531","72,528",82
30290,"82,276","92,149","100,657","8,286"
30291,"42,888","48,034","49,407","21,010"
30292,"51,052","57,179","58,398","5,943"
30293,"34,457","38,592","46,453","2,981"
30294,"57,680","64,601","65,489","39,865"
30295,"53,888","60,355","62,996","4,159"
30296,"47,629","53,344","55,222","25,840"
30297,"32,331","36,211","39,028","27,188"
30303,"27,682","31,004","43,952","5,934"
30305,"82,654","92,573","141,269","22,999"
30306,"83,987","94,066","137,216","22,246"
30307,"82,543","92,449","110,495","18,004"
30308,"51,700","57,904","75,014","15,413"
30309,"68,825","77,084","110,066","21,845"
30310,"26,367","29,531","35,938","26,912"
30311,"33,268","37,260","42,323","32,218"
30312,"46,321","51,879","59,056","19,360"
30313,"31,331","35,091","47,892","9,495"
30314,"23,859","26,722","33,183","22,020"
30315,"24,765","27,737","34,625","29,481"
30316,"43,450","48,664","57,128","31,110"
30317,"46,559","52,146","62,007","11,970"
30318,"44,861","50,244","62,109","49,736"
30319,"84,592","94,743","115,449","38,423"
30322,"24,943","27,936","48,526","2,023"
30324,"59,794","66,969","81,341","24,267"
30326,"102,044","114,290","136,974","4,802"
30327,"141,205","158,149","218,809","22,208"
30328,"84,198","94,301","108,993","30,348"
30329,"45,861","51,365","65,739","28,539"
30331,"48,169","53,949","60,142","54,094"
30332,"35,461","39,716","50,557","2,970"
30334,"52,969","59,325","66,588",1
30336,"49,403","55,332","59,650",971
30337,"29,723","33,290","46,670","11,505"
30338,"91,781","102,795","113,792","33,617"
30339,"65,986","73,905","88,934","18,304"
30340,"42,561","47,668","55,435","29,394"
30341,"60,391","67,638","75,211","31,793"
30342,"79,736","89,305","129,650","29,879"
30344,"43,223","48,409","52,739","31,776"
30345,"72,954","81,708","94,065","23,129"
30346,"60,450","67,704","90,744","4,696"
30349,"49,881","55,867","59,398","67,602"
30350,"73,644","82,482","103,456","34,740"
30354,"29,580","33,130","36,962","14,857"
30360,"52,696","59,020","68,576","14,536"
30363,"57,276","64,149","94,363","2,680"
30401,"29,455","32,990","41,157","13,500"
30410,"36,335","40,695","45,297","2,168"
30411,"31,265","35,016","36,260","4,371"
30412,"36,667","41,067","41,575",80
30413,"29,105","32,598","37,492","1,575"
30415,"49,615","55,569","57,617","6,780"
30417,"39,349","44,071","48,082","11,090"
30420,"31,621","35,415","42,854","1,460"
30421,"33,837","37,897","43,405","3,381"
30423,"44,971","50,368","47,686",120
30425,"27,334","30,615","40,662",988
30426,"34,647","38,805","41,282","1,100"
30427,"42,048","47,093","50,091","12,864"
30428,"38,692","43,336","42,209","2,766"
30429,"40,553","45,419","55,792",205
30434,"30,462","34,118","38,578","5,728"
30436,"32,673","36,594","46,163","11,961"
30438,"40,888","45,795","47,394",74
30439,"22,930","25,682","26,330","5,786"
30441,"33,133","37,109","47,852","1,663"
30442,"28,542","31,967","46,039","7,698"
30445,"34,383","38,508","44,141","3,285"
30446,"42,931","48,083","51,736","1,357"
30448,"30,759","34,450","40,105",81
30449,"38,616","43,250","49,609",119
30451,"37,209","41,674","37,943",33
30452,"42,250","47,320","50,479","1,567"
30453,"40,998","45,918","48,005","9,703"
30454,"34,433","38,565","43,103",538
30455,"22,833","25,573","31,653",597
30456,"34,931","39,123","40,892","2,119"
30457,"37,079","41,529","45,416","6,424"
30458,"29,709","33,275","40,673","40,913"
30460,"5,816","6,514","10,401",427
30461,"33,613","37,647","46,595","12,643"
30464,"30,858","34,561","43,837",78
30467,"32,846","36,788","44,104","12,600"
30470,"41,809","46,826","50,690",517
30471,"29,513","33,054","42,009","4,487"
30473,"34,144","38,241","40,389","2,972"
30474,"33,418","37,428","48,775","16,594"
30475,"27,191","30,454","46,438",52
30477,"23,570","26,398","31,009","3,070"
30501,"40,129","44,944","56,305","28,048"
30504,"42,235","47,303","53,227","22,463"
30506,"58,680","65,722","82,384","41,667"
30507,"43,863","49,127","53,636","28,399"
30510,"39,200","43,904","53,007","8,291"
30511,"35,536","39,800","51,964","3,186"
30512,"41,325","46,284","55,164","19,490"
30513,"31,667","35,467","45,383","11,019"
30516,"37,507","42,008","53,188","2,054"
30517,"65,224","73,050","81,660","11,963"
30518,"68,691","76,934","81,548","45,211"
30519,"71,958","80,593","86,727","39,812"
30520,"34,860","39,043","44,769","4,426"
30521,"34,826","39,005","51,993","4,944"
30522,"27,078","30,327","36,306",829
30523,"46,965","52,601","58,306","12,904"
30525,"31,787","35,601","44,184","7,364"
30527,"59,509","66,650","75,797","4,043"
30528,"39,026","43,709","52,479","22,679"
30529,"43,763","49,014","50,811","10,920"
30530,"43,047","48,213","51,060","6,752"
30531,"35,576","39,845","52,226","11,279"
30533,"42,996","48,155","52,638","25,296"
30534,"52,124","58,379","65,824","26,685"
30535,"37,084","41,534","51,979","7,042"
30536,"20,618","23,092","29,042","4,556"
30537,"43,477","48,695","55,705","1,249"
30538,"38,162","42,741","49,246","2,854"
30540,"36,587","40,978","46,656","17,297"
30541,"35,808","40,105","48,696","1,603"
30542,"63,340","70,941","75,903","31,946"
30543,"50,748","56,838","56,007","4,487"
30545,"47,377","53,062","58,107",936
30546,"39,556","44,303","49,734","6,496"
30547,"45,591","51,062","53,712","3,268"
30548,"75,767","84,859","90,375","15,870"
30549,"59,284","66,398","67,330","22,500"
30552,"41,789","46,804","56,979","1,697"
30553,"37,616","42,130","49,501","7,232"
30554,"43,200","48,384","54,012","8,535"
30555,"37,209","41,674","50,538","2,061"
30557,"38,531","43,155","49,119","4,975"
30558,"41,478","46,456","53,184","5,456"
30559,"38,077","42,647","48,955","4,333"
30560,"35,238","39,467","48,547","4,599"
30562,"43,772","49,025","56,012","1,128"
30563,"42,430","47,522","53,656","5,373"
30564,"57,380","64,266","66,584","4,463"
30565,"44,389","49,716","53,672","4,758"
30566,"49,458","55,393","56,930","7,906"
30567,"53,181","59,563","63,540","2,981"
30568,"43,772","49,025","56,012","1,877"
30571,"47,793","53,528","59,681","3,682"
30572,"37,756","42,287","48,220","1,260"
30573,"45,265","50,696","65,269",163
30575,"62,303","69,779","68,111","1,375"
30576,"40,462","45,318","59,973","2,521"
30577,"34,257","38,368","48,866","22,230"
30581,"42,227","47,295","60,401",73
30582,"41,577","46,566","45,974","4,567"
30601,"22,799","25,534","33,822","20,835"
30602,"10,625","11,900","12,035","2,409"
30605,"32,447","36,341","45,548","39,952"
30606,"45,829","51,329","67,277","40,225"
30607,"45,348","50,790","53,273","10,895"
30609,"10,625","11,900","12,035","1,956"
30619,"41,528","46,511","51,097","1,440"
30620,"54,028","60,511","64,402","12,486"
30621,"63,829","71,488","79,037","5,109"
30622,"65,534","73,398","88,315","10,344"
30623,"51,768","57,980","76,535",154
30624,"35,353","39,595","42,058","2,611"
30625,"50,734","56,822","74,759","2,438"
30627,"34,524","38,667","47,003","2,273"
30628,"39,122","43,816","49,204","6,556"
30629,"40,175","44,996","52,329","4,531"
30630,"39,116","43,810","51,511","2,438"
30631,"23,227","26,015","36,362","1,767"
30633,"45,031","50,435","54,254","8,474"
30634,"32,625","36,540","41,348","2,281"
30635,"30,806","34,503","42,322","16,109"
30641,"54,996","61,595","65,179","1,810"
30642,"48,456","54,271","73,378","11,001"
30643,"35,494","39,753","46,957","16,382"
30646,"40,433","45,285","49,223","6,946"
30648,"37,557","42,064","51,370","2,988"
30650,"41,921","46,951","70,135","11,708"
30655,"46,331","51,890","54,956","24,136"
30656,"52,101","58,354","61,865","15,133"
30660,"36,362","40,725","49,347","1,191"
30662,"38,732","43,380","47,819","8,537"
30663,"48,138","53,915","77,143","3,032"
30664,"22,188","24,851","35,122",38
30665,"34,250","38,360","33,284",80
30666,"50,873","56,978","62,992","8,659"
30667,"45,185","50,607","50,009","1,035"
30668,"23,102","25,874","32,110","1,533"
30669,"29,582","33,131","42,441","3,313"
30673,"28,732","32,180","39,558","7,897"
30677,"73,008","81,769","90,984","17,065"
30678,"39,038","43,722","49,264","1,294"
30680,"48,674","54,515","57,889","37,837"
30683,"41,683","46,685","55,739","6,749"
30701,"37,491","41,990","46,253","37,979"
30705,"37,405","41,894","46,712","33,566"
30707,"42,831","47,971","54,164","16,483"
30708,"33,511","37,532","43,257",293
30710,"45,465","50,921","59,466","6,661"
30711,"33,877","37,942","43,869","3,569"
30720,"46,487","52,066","64,587","26,895"
30721,"37,837","42,377","49,015","53,601"
30725,"36,359","40,722","45,787","4,647"
30726,"51,115","57,249","58,049",56
30728,"37,536","42,040","46,112","19,612"
30730,"36,546","40,932","41,401","1,993"
30731,"34,047","38,133","45,859","2,428"
30733,"38,798","43,453","50,471","2,080"
30734,"7,253","8,124","8,375",600
30735,"36,868","41,292","44,738","5,350"
30736,"55,081","61,690","64,951","41,029"
30738,"49,983","55,981","68,901","3,799"
30739,"57,173","64,034","64,495","5,571"
30740,"52,137","58,394","60,938","8,600"
30741,"34,697","38,860","43,845","29,290"
30742,"34,622","38,777","41,973","7,460"
30746,"40,716","45,602","47,328","1,223"
30747,"33,651","37,689","41,658","16,859"
30750,"53,837","60,298","77,430","4,125"
30751,"33,511","37,532","43,257",91
30752,"39,450","44,184","48,187","9,800"
30753,"31,909","35,738","39,934","6,697"
30755,"46,929","52,561","57,355","9,590"
30756,"48,525","54,348","65,887",74
30757,"36,301","40,657","45,048","1,787"
30802,"61,604","68,996","71,492","6,321"
30803,"39,967","44,763","54,310",741
30805,"44,341","49,662","57,217","2,734"
30807,"30,678","34,359","37,564",92
30808,"38,150","42,728","44,135","4,615"
30809,"91,055","101,981","102,473","38,168"
30810,"37,058","41,505","44,219","2,138"
30812,"43,011","48,172","47,198",363
30813,"54,384","60,911","61,035","30,415"
30814,"39,274","43,987","50,067","8,150"
30815,"48,065","53,832","56,761","39,640"
30816,"33,526","37,549","44,931","2,109"
30817,"22,873","25,618","27,093","4,360"
30818,"29,918","33,508","40,090",555
30820,"35,574","39,843","42,982","1,205"
30821,"30,702","34,386","37,595",882
30822,"25,918","29,028","43,035",526
30823,"36,985","41,423","49,362","1,800"
30824,"33,655","37,693","43,782","17,201"
30828,"31,984","35,822","39,194","4,368"
30830,"32,969","36,925","42,965","13,966"
30833,"29,918","33,508","40,090","4,043"
30901,"18,901","21,169","28,775","16,445"
30903,"65,635","73,511","74,740",585
30904,"32,890","36,837","45,710","25,666"
30905,"49,429","55,360","52,433","8,955"
30906,"36,768","41,180","44,453","57,748"
30907,"67,272","75,345","82,432","50,913"
30909,"45,904","51,412","61,088","41,585"
30912,"15,438","17,290","24,078",296
31001,"25,610","28,683","30,547","4,816"
31002,"34,480","38,617","49,324","2,910"
31003,"38,229","42,816","44,461",112
31005,"80,484","90,142","93,616","15,102"
31006,"29,610","33,163","40,778","4,923"
31007,"29,578","33,127","36,685","1,117"
31008,"56,351","63,113","65,038","18,453"
31009,"38,675","43,315","47,738","1,477"
31011,"26,061","29,188","55,882",923
31012,"5,906","6,614","6,993",419
31014,"33,416","37,426","48,271","12,806"
31015,"29,845","33,426","43,454","21,938"
31016,"51,523","57,706","63,652","1,517"
31017,"30,929","34,641","43,874","1,985"
31018,"39,794","44,569","46,246","2,837"
31019,"45,338","50,779","50,245","2,318"
31020,"27,348","30,630","41,970","2,541"
31021,"41,960","46,996","53,424","28,549"
31022,"52,323","58,602","68,331","1,424"
31023,"31,162","34,902","38,874","15,340"
31024,"41,259","46,210","60,330","20,039"
31025,"49,125","55,020","64,513","1,226"
31027,"34,862","39,045","41,964","10,012"
31028,"61,363","68,727","64,229","5,912"
31029,"43,626","48,861","59,903","16,287"
31030,"34,773","38,946","46,282","18,977"
31031,"40,148","44,966","48,932","6,576"
31032,"52,864","59,208","62,148","13,993"
31033,"47,112","52,765","53,331","2,660"
31035,"39,872","44,657","46,296","1,364"
31036,"36,260","40,612","46,836","12,998"
31037,"26,309","29,466","37,041","4,313"
31038,"38,752","43,402","51,179",761
31039,"24,770","27,742","34,400",74
31041,"35,694","39,977","36,862",988
31042,"32,156","36,015","47,204","1,841"
31044,"27,087","30,338","42,271","2,911"
31045,"28,636","32,072","35,640",73
31046,"64,617","72,371","72,838","3,343"
31047,"77,209","86,474","87,893","11,193"
31049,"36,613","41,007","58,034","1,806"
31050,"45,591","51,062","56,301",965
31051,"29,375","32,900","36,275",187
31052,"54,412","60,942","68,320","8,652"
31054,"32,686","36,608","47,906","1,671"
31055,"25,295","28,331","34,692","8,245"
31057,"31,014","34,736","39,931","2,182"
31058,"38,439","43,051","45,761","2,123"
31060,"24,720","27,686","43,423","1,915"
31061,"37,323","41,802","47,876","43,755"
31062,"30,912","34,621","37,712",495
31063,"25,579","28,649","35,797","5,666"
31064,"40,813","45,711","53,917","9,450"
31065,"51,789","58,004","65,210","1,118"
31066,"23,843","26,704","51,810","1,147"
31067,"31,925","35,756","41,781",222
31068,"33,060","37,027","37,946","5,425"
31069,"55,311","61,948","65,038","18,948"
31070,"31,038","34,762","40,543",998
