Zip,Median,Median_adjusted,Mean,Pop
10607,"99,337","111,257","119,664","6,924"
10701,"44,417","49,747","56,331","61,035"
10703,"54,745","61,314","68,861","20,903"
10704,"63,087","70,658","74,430","30,497"
10705,"36,094","40,425","48,376","27,216"
10706,"138,152","154,730","183,467","8,664"
10707,"97,931","109,682","128,239","9,712"
10708,"127,637","142,953","201,445","21,427"
10709,"96,536","108,121","136,311","8,888"
10710,"80,118","89,732","93,642","25,538"
10801,"58,707","65,751","80,358","36,356"
10803,"137,572","154,081","218,225","11,892"
10804,"158,924","177,995","225,005","14,322"
10805,"29,677","33,238","41,906","11,633"
10901,"86,843","97,265","113,903","22,177"
10910,"78,571","88,000","125,222",42
10913,"106,055","118,782","122,841","5,149"
10914,"82,100","91,952","91,315",452
10915,"82,773","92,706","94,400",113
10916,"105,269","117,902","116,636","3,887"
10917,"103,897","116,365","122,911","1,720"
10918,"88,168","98,748","96,444","11,572"
10919,"76,796","86,011","91,305",783
10920,"95,166","106,585","112,377","8,649"
10921,"84,742","94,911","98,913","3,804"
10922,"75,547","84,613","80,086","1,480"
10923,"80,267","89,899","95,185","8,256"
10924,"84,649","94,806","96,935","12,319"
10925,"74,809","83,786","87,065","4,870"
10926,"84,067","94,156","100,624","2,901"
10927,"46,499","52,079","64,351","10,121"
10928,"66,151","74,089","72,944","3,881"
10930,"104,131","116,627","119,779","7,253"
10931,"87,257","97,728","109,166","1,045"
10932,"76,397","85,565","84,642",49
10933,"85,941","96,254","95,410",389
10940,"57,731","64,659","69,070","42,813"
10941,"67,488","75,587","80,139","12,765"
10950,"65,251","73,081","79,974","38,803"
10952,"66,193","74,136","90,002","31,623"
10953,"66,650","74,648","101,518",248
10954,"93,219","104,406","106,608","22,066"
10956,"114,523","128,266","138,476","32,030"
10958,"100,108","112,121","105,058","2,916"
10960,"78,145","87,522","107,534","14,569"
10962,"117,728","131,856","134,733","5,329"
10963,"76,427","85,598","86,709","4,195"
10964,"79,958","89,553","108,530","1,384"
10965,"103,487","115,906","125,374","14,569"
10968,"92,045","103,090","129,291","2,408"
10969,"80,186","89,808","89,346","1,195"
10970,"89,426","100,157","107,338","9,366"
10973,"95,946","107,460","103,079","2,016"
10974,"87,353","97,835","100,576","3,048"
10975,"78,571","88,000","125,222",359
10976,"87,986","98,544","119,907","2,001"
10977,"67,394","75,481","81,481","48,755"
10979,"74,809","83,786","87,065",264
10980,"66,696","74,700","70,879","9,534"
10983,"91,703","102,708","109,710","5,646"
10984,"105,625","118,300","123,510","2,815"
10985,"82,773","92,706","94,400",57
10987,"78,462","87,877","124,115","3,003"
10988,"85,941","96,254","95,410",751
10989,"85,642","95,919","103,414","9,345"
10990,"91,662","102,662","106,921","19,282"
10992,"89,904","100,693","89,764","8,880"
10993,"54,508","61,049","72,676","4,710"
10994,"106,989","119,828","134,225","7,246"
10996,"92,841","103,982","126,289","7,122"
10998,"86,132","96,467","95,486","2,453"
11001,"96,705","108,309","111,213","26,707"
11003,"78,863","88,326","91,208","40,973"
11004,"75,304","84,340","84,522","13,390"
11005,"57,104","63,956","101,012","2,195"
11010,"82,519","92,421","96,237","23,829"
11020,"117,295","131,371","166,437","5,733"
11021,"100,154","112,173","150,972","17,512"
11023,"93,125","104,300","141,565","8,593"
11024,"121,655","136,253","190,653","7,993"
11030,"169,390","189,717","243,353","17,033"
11040,"98,762","110,614","116,894","39,784"
11042,"144,293","161,608","222,478",514
11050,"114,602","128,354","163,839","28,714"
11096,"55,026","61,629","68,941","7,976"
11101,"39,955","44,750","51,519","22,556"
11102,"48,399","54,207","61,245","35,943"
11103,"52,495","58,794","66,421","44,730"
11104,"50,944","57,057","61,198","29,376"
11105,"54,570","61,118","68,395","42,375"
11106,"44,031","49,314","56,437","40,963"
11109,"117,750","131,880","151,032",843
11201,"92,175","103,236","140,858","48,101"
11203,"47,788","53,523","60,025","78,886"
11204,"42,764","47,895","58,961","74,185"
11205,"42,904","48,052","57,437","35,648"
11206,"26,440","29,612","38,580","69,454"
11207,"34,729","38,897","44,634","87,324"
11208,"33,876","37,941","44,515","84,692"
11209,"56,907","63,735","78,505","69,646"
11210,"55,001","61,601","69,162","67,349"
11211,"37,632","42,148","52,061","84,434"
11212,"27,911","31,261","37,846","85,400"
11213,"35,085","39,295","46,614","65,932"
11214,"35,964","40,279","48,902","78,896"
11215,"81,331","91,091","109,384","59,307"
11216,"37,290","41,765","52,038","55,021"
11217,"72,611","81,324","102,950","35,641"
11218,"48,011","53,772","61,312","75,418"
11219,"34,970","39,166","50,737","85,825"
11220,"37,030","41,474","50,271","92,398"
11221,"34,005","38,086","46,670","75,020"
11222,"54,367","60,891","69,809","40,003"
11223,"39,421","44,151","53,996","74,659"
11224,"34,958","39,153","45,363","49,491"
11225,"39,782","44,556","52,485","61,858"
11226,"38,763","43,415","49,673","106,461"
11228,"55,200","61,824","73,658","40,169"
11229,"49,911","55,900","63,752","80,407"
11230,"47,496","53,196","64,348","88,449"
11231,"73,075","81,844","95,031","33,174"
11232,"34,808","38,985","45,834","22,177"
11233,"35,423","39,673","45,327","63,541"
11234,"67,953","76,107","77,077","81,033"
11235,"44,730","50,097","60,543","79,197"
11236,"59,568","66,716","69,801","94,098"
11237,"35,355","39,597","43,844","48,837"
11238,"61,469","68,845","79,249","49,085"
11239,"24,882","27,868","33,975","14,621"
11354,"50,019","56,022","63,009","54,286"
11355,"38,624","43,259","50,393","74,434"
11356,"67,808","75,945","80,098","20,443"
11357,"74,097","82,988","89,657","39,650"
11358,"66,312","74,270","80,189","37,044"
11360,"72,854","81,596","92,445","18,363"
11361,"70,983","79,501","84,896","28,648"
11362,"74,827","83,806","89,963","17,509"
11363,"92,955","104,110","118,589","6,849"
11364,"65,777","73,670","77,367","32,272"
11365,"61,097","68,429","73,177","37,503"
11366,"76,377","85,543","93,826","13,795"
11367,"53,565","59,992","67,846","39,791"
11368,"43,963","49,238","54,259","95,662"
11369,"54,732","61,300","65,143","37,429"
11370,"37,574","42,083","49,034","28,920"
11372,"48,149","53,927","58,610","70,946"
11373,"44,301","49,617","56,733","99,884"
11374,"49,708","55,673","65,130","39,224"
11375,"69,446","77,780","89,704","70,142"
11377,"49,979","55,976","60,263","87,015"
11378,"59,363","66,486","68,915","33,487"
11379,"61,824","69,243","76,167","33,886"
11385,"47,470","53,166","57,795","95,262"
11411,"69,132","77,427","79,342","17,909"
11412,"67,396","75,483","77,264","36,433"
11413,"77,058","86,305","84,085","39,571"
11414,"70,965","79,481","84,306","28,120"
11415,"55,983","62,701","70,069","19,423"
11416,"46,713","52,318","58,914","21,053"
11417,"56,103","62,835","66,183","28,748"
11418,"57,063","63,911","66,712","36,587"
11419,"49,705","55,670","59,642","44,065"
11420,"55,056","61,662","66,551","41,750"
11421,"55,094","61,705","66,525","37,664"
11422,"68,823","77,082","76,689","26,308"
11423,"64,756","72,527","79,561","31,575"
11424,"61,900","69,328","74,277",467
11425,"70,284","78,718","73,553",26
11426,"74,452","83,386","87,041","17,445"
11427,"57,224","64,091","67,494","21,275"
11428,"71,127","79,662","85,684","20,923"
11429,"72,714","81,440","82,273","27,816"
11430,"50,483","56,541","54,620",197
11432,"50,291","56,326","64,694","54,915"
11433,"41,780","46,794","54,771","28,391"
11434,"51,641","57,837","59,039","52,603"
11435,"44,722","50,088","52,870","47,317"
11436,"62,297","69,773","69,595","18,291"
11501,"78,423","87,833","90,983","19,466"
11507,"103,384","115,790","138,519","7,526"
11509,"106,773","119,586","149,930","2,852"
11510,"99,077","110,967","110,670","32,552"
11514,"84,511","94,652","93,244","4,904"
11516,"93,264","104,456","121,947","6,997"
11518,"89,715","100,481","104,191","11,158"
11520,"68,768","77,020","86,328","44,329"
11530,"127,418","142,709","187,098","26,753"
11542,"77,618","86,933","102,384","27,205"
11545,"152,909","171,258","228,119","12,081"
11547,"114,409","128,138","141,452",644
11548,"213,520","239,143","316,062","2,445"
11550,"57,385","64,271","69,315","58,967"
11552,"93,065","104,233","110,131","23,354"
11553,"71,093","79,624","81,499","23,540"
11554,"87,598","98,110","98,759","37,455"
11556,"73,445","82,258","83,012",13
11557,"113,487","127,106","154,469","8,053"
11558,"85,183","95,405","100,774","8,553"
11559,"112,233","125,701","152,353","8,100"
11560,"102,206","114,471","180,640","6,812"
11561,"85,039","95,244","104,804","39,648"
11563,"87,861","98,404","99,384","23,227"
11565,"115,184","129,006","126,076","9,088"
11566,"120,360","134,803","136,669","35,616"
11568,"195,604","219,076","350,580","3,995"
11569,"112,545","126,050","160,280","1,502"
11570,"112,071","125,520","144,506","27,303"
11572,"97,596","109,307","111,623","31,236"
11575,"67,576","75,685","79,363","15,785"
11576,"156,674","175,475","235,579","12,885"
11577,"131,919","147,750","163,809","11,274"
11579,"99,101","110,993","127,227","5,148"
11580,"85,372","95,616","97,786","37,887"
11581,"93,231","104,419","104,291","20,192"
11590,"87,977","98,534","101,422","42,593"
11596,"108,682","121,724","133,563","10,492"
11598,"131,335","147,095","180,670","13,170"
11691,"35,645","39,923","51,204","54,005"
11692,"42,385","47,472","53,664","15,850"
11693,"54,874","61,459","65,333","11,120"
11694,"75,157","84,176","89,575","19,299"
11697,"82,291","92,165","101,500","4,206"
11701,"65,927","73,838","81,012","25,654"
11702,"95,477","106,934","116,529","15,125"
11703,"82,421","92,312","90,997","16,656"
11704,"79,200","88,705","87,882","40,355"
11705,"92,356","103,439","101,901","8,237"
11706,"74,856","83,839","88,722","59,946"
11709,"84,100","94,192","116,289","7,134"
11710,"107,781","120,714","121,846","34,790"
11713,"77,829","87,168","93,247","8,743"
11714,"87,906","98,455","107,529","22,950"
11715,"89,808","100,585","98,329","4,591"
11716,"95,944","107,457","106,568","10,434"
11717,"70,191","78,614","79,046","51,889"
11718,"124,722","139,689","140,354","3,248"
11719,"82,188","92,050","92,651","3,337"
11720,"91,189","102,131","101,569","27,633"
11721,"102,308","114,585","128,461","6,254"
11722,"69,657","78,016","77,957","32,268"
11724,"139,283","155,997","199,746","3,109"
11725,"107,564","120,471","124,879","29,570"
11726,"70,310","78,747","80,680","18,376"
11727,"79,880","89,465","93,184","26,192"
11729,"79,371","88,896","87,395","27,852"
11730,"91,842","102,863","126,756","14,798"
11731,"100,244","112,273","115,414","30,489"
11732,"118,206","132,391","147,944","3,539"
11733,"125,383","140,429","153,052","17,976"
11735,"88,757","99,408","103,543","32,358"
11738,"82,335","92,215","93,652","17,439"
11739,"173,438","194,251","183,585","1,256"
11740,"92,304","103,380","115,901","9,227"
11741,"95,241","106,670","102,911","28,352"
11742,"84,777","94,951","97,119","11,697"
11743,"119,062","133,350","162,374","41,964"
11746,"105,002","117,603","128,444","63,286"
11747,"108,881","121,947","146,664","16,103"
11749,"91,497","102,477","91,445","3,047"
11751,"90,015","100,817","99,027","15,107"
11752,"87,162","97,622","97,839","10,013"
11753,"142,621","159,736","185,686","11,670"
11754,"92,735","103,863","106,378","18,983"
11755,"90,612","101,485","106,684","11,333"
11756,"91,413","102,383","103,559","44,007"
11757,"83,838","93,899","94,304","46,552"
11758,"106,935","119,767","119,731","56,207"
11762,"105,852","118,554","123,073","23,056"
11763,"86,519","96,902","91,628","24,866"
11764,"111,468","124,845","126,438","11,116"
11765,"131,250","147,000","285,080",567
11766,"112,406","125,895","130,622","9,613"
11767,"107,043","119,888","116,834","13,725"
11768,"114,683","128,445","156,116","22,039"
11769,"85,271","95,504","101,549","9,727"
11770,"62,031","69,475","128,906",161
11771,"121,984","136,622","182,848","10,076"
11772,"66,823","74,842","75,767","42,071"
11776,"82,521","92,423","97,878","22,269"
11777,"101,591","113,782","130,958","9,054"
11778,"78,940","88,412","86,453","11,738"
11779,"85,987","96,306","95,608","38,425"
11780,"104,936","117,529","130,940","15,422"
11782,"97,018","108,660","109,007","15,721"
11783,"102,422","114,713","117,033","22,063"
11784,"73,740","82,589","82,513","25,049"
11786,"112,174","125,635","122,638","5,933"
11787,"110,137","123,354","130,813","34,277"
11788,"97,671","109,391","113,160","16,528"
11789,"80,797","90,492","95,045","7,345"
11790,"108,212","121,197","121,840","17,609"
11791,"136,223","152,570","181,354","24,735"
11792,"104,158","116,657","111,925","7,511"
11793,"105,568","118,236","121,682","32,494"
11794,"60,167","67,387","51,568","3,200"
11795,"99,994","111,994","118,972","27,089"
11796,"88,053","98,619","97,094","3,865"
11797,"139,209","155,914","190,163","9,111"
11798,"67,938","76,091","75,149","14,796"
11801,"86,201","96,545","103,356","39,393"
11803,"116,391","130,358","137,077","27,719"
11804,"109,050","122,136","133,622","4,942"
11901,"58,528","65,552","73,673","22,490"
11930,"72,175","80,836","90,684","1,299"
11931,"77,663","86,983","89,576",180
11932,"94,589","105,939","162,763","1,417"
11933,"79,402","88,930","92,801","5,970"
11934,"76,052","85,178","98,045","6,548"
11935,"78,766","88,217","102,633","3,383"
11937,"79,893","89,480","129,902","13,215"
11939,"66,193","74,136","93,668",776
11940,"90,241","101,070","126,446","4,382"
11941,"79,352","88,874","107,784","1,568"
11942,"81,472","91,248","111,985","3,985"
11944,"56,250","63,000","82,387","3,663"
11946,"63,450","71,065","83,584","12,798"
11947,"77,663","86,983","89,576",309
11948,"90,243","101,073","101,532",803
11949,"86,595","96,986","105,475","11,362"
11950,"76,802","86,018","81,840","14,834"
11951,"70,905","79,413","71,328","12,865"
11952,"90,734","101,622","102,132","4,559"
11953,"65,320","73,159","75,870","12,191"
11954,"69,918","78,308","92,272","3,844"
11955,"69,803","78,179","85,751","2,672"
11956,"78,359","87,762","102,650",328
11957,"66,193","74,136","93,668",709
11958,"77,933","87,285","102,207",543
11959,"83,144","93,121","107,261","1,022"
11960,"75,522","84,585","103,774","1,144"
11961,"68,939","77,212","80,860","12,389"
11962,"94,770","106,142","163,919",445
11963,"91,016","101,937","156,503","6,644"
11964,"71,384","79,950","93,973","1,736"
11965,"71,384","79,950","93,973",489
11967,"82,570","92,478","86,510","24,613"
11968,"74,487","83,426","154,825","11,830"
11970,"77,663","86,983","89,576",473
11971,"70,997","79,516","95,009","5,577"
11972,"75,353","84,396","107,627","1,126"
11975,"93,112","104,285","168,344",394
11976,"89,905","100,694","147,241","1,955"
11977,"97,954","109,708","129,728","2,408"
11978,"82,516","92,418","127,980","3,421"
11980,"84,579","94,729","89,630","4,305"
12007,"68,165","76,345","73,708",89
12008,"71,667","80,267","80,919",424
12009,"68,448","76,662","84,140","7,459"
12010,"42,485","47,584","53,633","25,949"
12015,"4,810","5,387","6,418",277
12017,"66,723","74,730","96,400",382
12018,"70,813","79,310","80,224","7,393"
12019,"84,969","95,165","97,506","13,358"
12020,"57,472","64,368","65,898","24,363"
12022,"57,321","64,200","62,944","1,008"
12023,"64,865","72,649","71,716","2,119"
12024,"75,954","85,068","113,441",23
12025,"53,760","60,211","74,574","5,312"
12027,"75,087","84,097","82,191","3,528"
12028,"55,629","62,305","65,791","1,307"
12029,"72,992","81,751","96,504","1,368"
12032,"50,698","56,782","61,632",956
12033,"77,276","86,550","84,715","7,828"
12035,"49,932","55,924","64,201",672
12036,"44,734","50,102","52,813",267
12037,"61,861","69,285","91,310","3,781"
12040,"57,321","64,200","62,944",84
12041,"67,785","75,919","103,358",412
12042,"49,989","55,988","63,423",285
12043,"23,043","25,809","32,419","4,619"
12045,"68,165","76,345","73,708",752
12046,"67,693","75,816","73,542",920
12047,"47,341","53,022","57,003","18,181"
12051,"40,501","45,361","48,368","5,365"
12052,"65,532","73,396","72,012","1,368"
12053,"72,749","81,479","79,322","4,366"
12054,"89,453","100,187","105,318","15,554"
12056,"76,634","85,830","82,682","2,171"
12057,"44,286","49,600","53,605","1,842"
12058,"49,233","55,141","67,620","1,397"
12059,"65,996","73,916","72,010","1,703"
12060,"69,241","77,550","93,021","1,391"
12061,"76,606","85,798","89,234","8,223"
12062,"61,042","68,367","74,444","1,736"
12063,"63,234","70,822","75,226",330
12064,"43,733","48,981","51,378",530
12065,"74,935","83,927","90,235","38,743"
12066,"57,983","64,941","69,626","2,244"
12067,"69,404","77,733","99,846","1,675"
12068,"50,377","56,422","61,839","3,277"
12069,"53,873","60,338","63,263",245
12070,"54,988","61,587","68,531","1,477"
12071,"47,545","53,250","55,838",254
12072,"54,670","61,231","65,606","2,499"
12074,"67,456","75,550","80,517","2,973"
12075,"51,162","57,301","75,655","3,252"
12076,"51,808","58,025","60,349","1,378"
12077,"82,112","91,965","94,696","5,982"
12078,"39,632","44,387","49,696","23,612"
12083,"51,357","57,520","60,078","3,419"
