,Datetime,Zone,actual,pred,rmse
68,2015-06-23 00:00:00,Park Slope,26.0,20.965951999999998,16.453295108089453
69,2015-06-23 00:00:00,Port Morris,2.0,1.8380523000000002,2.2818421435751257
70,2015-06-23 00:00:00,Prospect Heights,14.0,7.6167045,5.664378950267812
71,2015-06-23 00:00:00,Prospect-Lefferts Gardens,9.0,7.046060000000001,4.5818321519522165
72,2015-06-23 00:00:00,Red Hook,5.0,2.8361118,4.038869927538761
73,2015-06-23 00:00:00,Rego Park,1.0,1.6551251,2.1806454055638684
74,2015-06-23 00:00:00,Richmond Hill,3.0,1.1798062,2.3829981842711603
75,2015-06-23 00:00:00,Ridgewood,7.0,4.6736374000000005,3.815614272604877
76,2015-06-23 00:00:00,Sheepshead Bay,4.0,1.6843495,2.7706717787375768
77,2015-06-23 00:00:00,SoHo,136.0,64.40789000000001,33.30600968519862
78,2015-06-23 00:00:00,South Ozone Park,3.0,1.9481568,2.2354444944428766
79,2015-06-23 00:00:00,Spuyten Duyvil,1.0,1.4813616000000003,2.1202408261970604
80,2015-06-23 00:00:00,Stuyvesant Town,9.0,4.0162363,7.812766738267577
81,2015-06-23 00:00:00,Sunnyside,9.0,5.730183599999999,5.786879812104113
82,2015-06-23 00:00:00,Sunset Park,12.0,11.9272232,6.064913053037412
83,2015-06-23 00:00:00,Theater District,121.0,64.282135,36.83930465380375
84,2015-06-23 00:00:00,Two Bridges,14.0,9.282322,7.587234660789994
85,2015-06-23 00:00:00,Upper East Side,618.0,380.752116,95.4038767358616
86,2015-06-23 00:00:00,Upper West Side,630.0,324.94135439999997,70.95362614909723
87,2015-06-23 00:00:00,Vinegar Hill,16.0,7.7240705,4.9811179006426585
88,2015-06-23 00:00:00,Washington Heights,54.0,24.410736200000002,8.862578357413025
89,2015-06-23 00:00:00,West Village,306.0,95.68126999999998,74.4851596938113
90,2015-06-23 00:00:00,Williamsburg,396.0,249.19745699999999,55.46187256884428
91,2015-06-23 00:00:00,Windsor Terrace,8.0,2.1448028,3.5064260939825203
92,2015-06-23 00:00:00,Woodhaven,2.0,1.4068513,1.711797460774502
93,2015-06-23 00:00:00,Woodside,4.0,2.7617047,3.158947385794056
94,2015-06-23 01:00:00,Astoria,16.0,17.3074806,11.620707378694139
95,2015-06-23 01:00:00,Battery Park City,17.0,8.836668,13.687420884961906
96,2015-06-23 01:00:00,Bay Ridge,3.0,2.2308493,4.252976351413535
97,2015-06-23 01:00:00,Bayside,0.0,0.82183015,1.6364236762131057
98,2015-06-23 01:00:00,Bedford-Stuyvesant,108.0,51.880754100000004,16.316025575083504
